race_key,race_date,venue,race_no,p1_prefecture,p1_previous_class,p1_class,p1_riding_style,p1_graduation_term,p1_age,p1_race_score,p1_nige_count,p1_makuri_count,p1_sashi_count,p1_mark_count,p1_back_count,p1_home_count,p1_start_count,p1_win_rate,p1_top2_rate,p1_top3_rate,p1_recent_finish_1,p1_recent_finish_2,p1_recent_finish_3,p2_prefecture,p2_previous_class,p2_class,p2_riding_style,p2_graduation_term,p2_age,p2_race_score,p2_nige_count,p2_makuri_count,p2_sashi_count,p2_mark_count,p2_back_count,p2_home_count,p2_start_count,p2_win_rate,p2_top2_rate,p2_top3_rate,p2_recent_finish_1,p2_recent_finish_2,p2_recent_finish_3,p3_prefecture,p3_previous_class,p3_class,p3_riding_style,p3_graduation_term,p3_age,p3_race_score,p3_nige_count,p3_makuri_count,p3_sashi_count,p3_mark_count,p3_back_count,p3_home_count,p3_start_count,p3_win_rate,p3_top2_rate,p3_top3_rate,p3_recent_finish_1,p3_recent_finish_2,p3_recent_finish_3,p4_prefecture,p4_previous_class,p4_class,p4_riding_style,p4_graduation_term,p4_age,p4_race_score,p4_nige_count,p4_makuri_count,p4_sashi_count,p4_mark_count,p4_back_count,p4_home_count,p4_start_count,p4_win_rate,p4_top2_rate,p4_top3_rate,p4_recent_finish_1,p4_recent_finish_2,p4_recent_finish_3,p5_prefecture,p5_previous_class,p5_class,p5_riding_style,p5_graduation_term,p5_age,p5_race_score,p5_nige_count,p5_makuri_count,p5_sashi_count,p5_mark_count,p5_back_count,p5_home_count,p5_start_count,p5_win_rate,p5_top2_rate,p5_top3_rate,p5_recent_finish_1,p5_recent_finish_2,p5_recent_finish_3,p6_prefecture,p6_previous_class,p6_class,p6_riding_style,p6_graduation_term,p6_age,p6_race_score,p6_nige_count,p6_makuri_count,p6_sashi_count,p6_mark_count,p6_back_count,p6_home_count,p6_start_count,p6_win_rate,p6_top2_rate,p6_top3_rate,p6_recent_finish_1,p6_recent_finish_2,p6_recent_finish_3,p7_prefecture,p7_previous_class,p7_class,p7_riding_style,p7_graduation_term,p7_age,p7_race_score,p7_nige_count,p7_makuri_count,p7_sashi_count,p7_mark_count,p7_back_count,p7_home_count,p7_start_count,p7_win_rate,p7_top2_rate,p7_top3_rate,p7_recent_finish_1,p7_recent_finish_2,p7_recent_finish_3,p8_prefecture,p8_previous_class,p8_class,p8_riding_style,p8_graduation_term,p8_age,p8_race_score,p8_nige_count,p8_makuri_count,p8_sashi_count,p8_mark_count,p8_back_count,p8_home_count,p8_start_count,p8_win_rate,p8_top2_rate,p8_top3_rate,p8_recent_finish_1,p8_recent_finish_2,p8_recent_finish_3,p9_prefecture,p9_previous_class,p9_class,p9_riding_style,p9_graduation_term,p9_age,p9_race_score,p9_nige_count,p9_makuri_count,p9_sashi_count,p9_mark_count,p9_back_count,p9_home_count,p9_start_count,p9_win_rate,p9_top2_rate,p9_top3_rate,p9_recent_finish_1,p9_recent_finish_2,p9_recent_finish_3,player_count,payout_class_4,is_20000_plus,is_50000_plus
20260705_京王閣_1R,20260705,京王閣,1,神奈川,A3,A3,追,85,47,71.03,0,0,1,7,0,0,0,3.0,26.0,36.0,3,4,6,徳 島,A3,A3,追,82,50,70.28,0,0,0,1,0,0,0,0.0,7.0,14.0,,,,愛 媛,A3,A3,両,94,48,69.66,2,1,2,1,4,2,7,19.0,28.0,42.0,3,6,3,埼 玉,A3,A3,追,87,47,69.66,0,0,0,0,0,0,0,0.0,0.0,33.0,,,,新 潟,A3,A3,逃,77,51,67.55,3,3,0,0,5,6,5,10.0,20.0,41.0,6,4,3,岡 山,A3,A3,追,97,36,67.07,0,0,0,1,0,0,1,0.0,7.0,28.0,,,,鹿児島,A3,A3,追,64,59,64.0,0,0,0,0,0,0,0,0.0,0.0,0.0,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20000_TO_49999,1,0
20260705_京王閣_2R,20260705,京王閣,2,奈 良,A3,A3,追,85,48,71.33,0,0,2,3,0,0,7,0.0,23.0,52.0,3,4,4,福 島,A3,A3,追,96,40,71.29,0,0,3,2,0,0,0,5.0,29.0,47.0,2,4,2,大 阪,A3,A3,追,77,52,71.0,0,0,3,0,0,0,1,18.0,18.0,50.0,,,,岐 阜,A3,A3,逃,129,27,70.0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,6,6,福 岡,A3,A3,両,98,40,69.79,0,1,1,4,1,1,9,8.0,24.0,44.0,4,5,4,福 岡,A3,A3,追,77,52,69.6,0,0,0,1,0,0,0,0.0,20.0,40.0,2,7,,千 葉,A3,A3,追,76,50,68.29,0,0,2,2,0,0,3,8.0,16.0,37.0,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260705_京王閣_3R,20260705,京王閣,3,兵 庫,A2,A3,追,82,48,81.13,0,0,1,0,0,1,3,0.0,4.0,22.0,,,,宮 崎,A2,A3,逃,117,30,80.33,4,2,0,0,11,8,2,11.0,22.0,33.0,7,7,7,北海道,A3,A3,追,83,51,74.44,0,1,7,6,0,0,0,7.0,51.0,70.0,3,2,4,埼 玉,A3,A3,追,90,44,74.08,0,0,2,7,0,0,0,4.0,37.0,54.0,5,2,4,岐 阜,A3,A3,追,80,49,71.15,0,0,1,5,0,1,1,0.0,31.0,52.0,4,5,6,愛 知,A3,A3,追,70,54,70.19,0,0,4,3,0,0,1,9.0,33.0,61.0,2,6,2,福 島,A3,A3,追,78,52,68.38,2,0,1,0,3,3,7,14.0,21.0,28.0,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260705_京王閣_4R,20260705,京王閣,4,千 葉,A2,A3,追,81,49,82.24,0,0,4,0,0,0,0,16.0,16.0,24.0,,,3,栃 木,A2,A3,追,80,51,79.0,0,0,0,2,0,0,0,0.0,8.0,16.0,,,2,神奈川,A3,A3,逃,107,34,73.58,7,2,0,0,11,9,13,29.0,37.0,58.0,1,3,2,高 知,A3,A3,逃,113,28,69.81,2,1,0,0,3,2,4,12.0,18.0,31.0,6,,,東 京,A3,A3,追,63,57,69.13,0,0,5,0,0,0,0,20.0,33.0,46.0,,,,大 阪,A3,A3,両,90,43,68.8,0,3,2,1,1,0,2,19.0,28.0,47.0,5,3,5,兵 庫,A3,A3,両,98,37,67.93,2,0,5,2,4,5,0,9.0,29.0,35.0,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260705_京王閣_5R,20260705,京王閣,5,岡 山,A2,A3,逃,115,28,90.33,9,2,0,0,14,12,3,33.0,52.0,66.0,2,1,5,福 岡,A2,A3,追,85,49,81.25,0,0,4,1,0,0,0,11.0,18.0,33.0,6,6,7,熊 本,A2,A3,両,89,45,80.37,0,1,0,2,2,3,0,4.0,12.0,20.0,5,7,6,香 川,A3,A3,追,86,45,72.88,0,1,7,5,1,0,0,11.0,48.0,66.0,2,6,2,群 馬,A3,A3,逃,129,21,72.85,0,0,1,0,1,0,0,14.0,14.0,57.0,7,,,群 馬,A3,A3,両,90,40,71.1,8,1,0,3,16,14,3,21.0,42.0,53.0,1,7,3,高 知,A3,A3,追,76,54,69.71,0,0,2,0,0,0,0,4.0,9.0,33.0,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260705_京王閣_6R,20260705,京王閣,6,栃 木,A2,A3,両,100,40,82.95,0,4,0,0,0,0,0,14.0,19.0,28.0,1,6,1,新 潟,A2,A3,追,81,51,81.04,0,0,0,3,1,0,0,0.0,14.0,28.0,,,,愛 知,A2,A3,両,89,42,80.33,0,0,0,1,0,2,3,0.0,6.0,20.0,,,,東 京,A3,A3,逃,129,21,75.22,2,2,1,0,3,2,4,33.0,55.0,66.0,2,3,1,石 川,A3,A3,逃,129,23,70.66,0,0,0,0,1,1,1,0.0,0.0,0.0,6,6,4,千 葉,A3,A3,追,68,54,68.55,0,0,2,0,0,0,0,0.0,11.0,33.0,,,,広 島,A3,A3,追,87,47,68.28,0,0,0,1,0,0,0,0.0,7.0,28.0,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260705_京王閣_7R,20260705,京王閣,7,神奈川,A2,A3,追,70,55,83.52,0,0,2,0,0,0,1,9.0,9.0,28.0,3,6,5,宮 城,A3,A3,逃,129,24,73.88,1,0,0,0,2,2,2,0.0,11.0,55.0,5,3,2,神奈川,A3,A3,逃,129,33,73.66,0,0,0,1,0,1,0,0.0,16.0,50.0,6,2,3,東 京,A3,A3,両,90,43,72.03,0,0,8,3,1,4,9,17.0,37.0,51.0,6,2,4,岡 山,A3,A3,逃,92,41,71.0,9,1,0,0,20,22,1,25.0,32.0,45.0,,,1,広 島,A3,A3,両,99,36,70.61,0,2,5,1,1,0,6,14.0,38.0,42.0,7,2,4,大 阪,A3,A3,逃,119,24,69.51,7,4,1,0,8,11,0,29.0,44.0,44.0,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20000_TO_49999,1,0
20260705_伊東_1R,20260705,伊東,1,京 都,A2,A2,両,97,38,79.25,0,0,2,0,0,1,5,3.0,7.0,14.0,,,7,栃 木,A2,A2,追,88,46,78.9,0,0,0,0,0,0,1,0.0,0.0,14.0,6,5,7,富 山,A2,A1,両,98,36,86.09,2,0,3,3,2,3,3,19.0,38.0,52.0,2,2,3,福 島,A2,A2,両,119,26,81.46,1,0,3,2,2,5,6,11.0,22.0,33.0,3,,7,山 梨,A2,A1,追,91,43,86.19,0,0,1,3,0,0,3,4.0,19.0,42.0,4,2,6,京 都,A2,A2,追,70,54,78.9,0,0,0,0,0,0,0,0.0,0.0,9.0,5,4,5,岐 阜,A1,A2,追,121,26,86.88,0,0,1,0,0,0,1,11.0,11.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260705_伊東_2R,20260705,伊東,2,神奈川,A1,A2,追,103,37,87.12,1,0,4,3,2,2,3,16.0,33.0,54.0,3,4,7,長 野,A2,A1,両,98,45,80.95,0,0,0,1,0,1,2,0.0,4.0,23.0,4,6,5,大 阪,A1,A2,両,98,40,80.0,0,0,0,1,0,0,0,0.0,7.0,30.0,,,,千 葉,A2,A2,逃,123,24,83.2,4,0,0,0,5,6,0,26.0,26.0,46.0,7,3,1,埼 玉,A2,A2,追,78,50,77.88,0,0,0,0,0,0,0,0.0,0.0,0.0,7,4,6,愛 知,A2,A2,逃,121,40,77.87,1,1,0,0,5,8,0,5.0,11.0,11.0,,,,静 岡,A2,A2,追,94,38,78.39,0,0,2,0,0,0,1,4.0,8.0,13.0,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260705_伊東_3R,20260705,伊東,3,愛 知,A1,A1,追,76,50,84.57,0,0,2,4,0,0,6,0.0,28.0,38.0,2,4,2,千 葉,A1,A1,追,91,41,88.45,0,1,4,3,0,0,3,12.0,33.0,54.0,1,5,2,埼 玉,A1,A2,追,78,49,86.53,0,0,2,3,0,0,1,0.0,33.0,40.0,,,,愛 知,A1,A1,両,99,50,83.9,0,0,2,0,0,0,0,0.0,18.0,45.0,3,5,7,宮 城,A1,A1,両,105,36,86.14,0,3,6,2,1,0,11,22.0,40.0,59.0,1,7,1,静 岡,A1,A1,逃,93,39,78.33,0,0,0,0,5,10,0,0.0,0.0,20.0,7,3,7,岐 阜,A2,A2,追,64,56,81.94,0,0,0,1,0,0,0,0.0,5.0,27.0,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
