race_key,race_date,venue,race_no,p1_prefecture,p1_previous_class,p1_class,p1_riding_style,p1_graduation_term,p1_age,p1_race_score,p1_nige_count,p1_makuri_count,p1_sashi_count,p1_mark_count,p1_back_count,p1_home_count,p1_start_count,p1_win_rate,p1_top2_rate,p1_top3_rate,p1_recent_finish_1,p1_recent_finish_2,p1_recent_finish_3,p2_prefecture,p2_previous_class,p2_class,p2_riding_style,p2_graduation_term,p2_age,p2_race_score,p2_nige_count,p2_makuri_count,p2_sashi_count,p2_mark_count,p2_back_count,p2_home_count,p2_start_count,p2_win_rate,p2_top2_rate,p2_top3_rate,p2_recent_finish_1,p2_recent_finish_2,p2_recent_finish_3,p3_prefecture,p3_previous_class,p3_class,p3_riding_style,p3_graduation_term,p3_age,p3_race_score,p3_nige_count,p3_makuri_count,p3_sashi_count,p3_mark_count,p3_back_count,p3_home_count,p3_start_count,p3_win_rate,p3_top2_rate,p3_top3_rate,p3_recent_finish_1,p3_recent_finish_2,p3_recent_finish_3,p4_prefecture,p4_previous_class,p4_class,p4_riding_style,p4_graduation_term,p4_age,p4_race_score,p4_nige_count,p4_makuri_count,p4_sashi_count,p4_mark_count,p4_back_count,p4_home_count,p4_start_count,p4_win_rate,p4_top2_rate,p4_top3_rate,p4_recent_finish_1,p4_recent_finish_2,p4_recent_finish_3,p5_prefecture,p5_previous_class,p5_class,p5_riding_style,p5_graduation_term,p5_age,p5_race_score,p5_nige_count,p5_makuri_count,p5_sashi_count,p5_mark_count,p5_back_count,p5_home_count,p5_start_count,p5_win_rate,p5_top2_rate,p5_top3_rate,p5_recent_finish_1,p5_recent_finish_2,p5_recent_finish_3,p6_prefecture,p6_previous_class,p6_class,p6_riding_style,p6_graduation_term,p6_age,p6_race_score,p6_nige_count,p6_makuri_count,p6_sashi_count,p6_mark_count,p6_back_count,p6_home_count,p6_start_count,p6_win_rate,p6_top2_rate,p6_top3_rate,p6_recent_finish_1,p6_recent_finish_2,p6_recent_finish_3,p7_prefecture,p7_previous_class,p7_class,p7_riding_style,p7_graduation_term,p7_age,p7_race_score,p7_nige_count,p7_makuri_count,p7_sashi_count,p7_mark_count,p7_back_count,p7_home_count,p7_start_count,p7_win_rate,p7_top2_rate,p7_top3_rate,p7_recent_finish_1,p7_recent_finish_2,p7_recent_finish_3,p8_prefecture,p8_previous_class,p8_class,p8_riding_style,p8_graduation_term,p8_age,p8_race_score,p8_nige_count,p8_makuri_count,p8_sashi_count,p8_mark_count,p8_back_count,p8_home_count,p8_start_count,p8_win_rate,p8_top2_rate,p8_top3_rate,p8_recent_finish_1,p8_recent_finish_2,p8_recent_finish_3,p9_prefecture,p9_previous_class,p9_class,p9_riding_style,p9_graduation_term,p9_age,p9_race_score,p9_nige_count,p9_makuri_count,p9_sashi_count,p9_mark_count,p9_back_count,p9_home_count,p9_start_count,p9_win_rate,p9_top2_rate,p9_top3_rate,p9_recent_finish_1,p9_recent_finish_2,p9_recent_finish_3,player_count,payout_class_4,is_20000_plus,is_50000_plus
20260601_宇都宮_1R,20260601,宇都宮,1,千 葉,S2,S2,追,107,41,98.4,0,0,2,1,0,0,1,4.0,12.0,32.0,,,,新 潟,S2,S2,追,85,46,98.0,0,0,4,1,0,0,5,9.0,15.0,42.0,6,2,1,福 岡,S2,S2,追,91,41,96.22,0,1,2,3,0,0,0,2.0,16.0,30.0,6,3,2,宮 城,S2,S2,逃,119,24,101.48,7,4,1,0,18,18,14,20.0,41.0,55.0,6,3,1,長 野,S2,S2,追,95,41,95.27,0,0,1,0,0,1,4,3.0,3.0,20.0,5,7,3,東 京,S2,S2,逃,113,30,94.03,0,2,2,1,5,5,1,3.0,19.0,23.0,4,7,1,静 岡,S2,S2,追,100,34,103.28,0,0,8,5,0,0,4,18.0,34.0,52.0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260601_宇都宮_2R,20260601,宇都宮,2,三 重,S2,S2,両,100,34,98.84,0,4,1,3,1,0,2,5.0,40.0,45.0,3,4,2,青 森,S1,S2,両,94,37,100.17,2,3,3,2,3,6,13,5.0,29.0,47.0,7,2,3,香 川,S1,S2,追,96,40,100.3,0,0,1,5,0,0,2,0.0,22.0,33.0,2,6,,石 川,S2,S2,両,74,56,95.28,0,3,2,0,1,1,0,14.0,17.0,25.0,5,1,7,富 山,A1,S2,追,91,40,94.64,0,0,2,1,0,0,4,6.0,9.0,16.0,6,4,1,宮 城,A1,S2,追,99,47,94.48,0,0,0,0,0,0,3,0.0,0.0,22.0,3,6,3,佐 賀,S2,S2,両,93,40,97.35,1,1,1,0,4,5,3,7.0,10.0,21.0,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260601_宇都宮_3R,20260601,宇都宮,3,熊 本,S1,S1,両,85,46,105.22,0,3,4,1,1,0,6,22.0,36.0,50.0,2,9,,埼 玉,A1,S2,逃,123,26,98.8,1,3,1,1,10,15,13,6.0,19.0,32.0,6,4,5,静 岡,A2,S2,逃,123,26,93.09,1,1,0,0,6,10,2,6.0,6.0,15.0,7,6,6,福 岡,A1,S2,両,101,34,94.0,2,1,0,0,10,10,6,6.0,10.0,20.0,7,4,1,香 川,S2,S2,追,90,44,95.6,0,1,4,1,0,0,0,5.0,17.0,20.0,6,1,6,熊 本,S2,S2,追,115,27,92.62,0,0,0,0,1,1,0,0.0,0.0,6.0,,,,埼 玉,S2,S2,両,92,38,95.23,1,2,0,0,3,2,1,7.0,23.0,30.0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,UNDER_10000,0,0
20260601_宇都宮_4R,20260601,宇都宮,4,徳 島,S1,S1,追,96,37,108.6,0,0,5,2,0,0,1,3.0,26.0,46.0,,3,,千 葉,S1,S2,追,86,48,102.32,0,0,5,3,0,0,2,10.0,27.0,37.0,3,6,3,福 岡,S2,S2,追,107,36,108.5,0,1,5,2,0,0,8,20.0,33.0,50.0,1,1,6,栃 木,S2,S2,追,100,34,98.03,0,0,0,3,0,0,0,0.0,10.0,37.0,,,,千 葉,S1,S1,逃,94,37,109.48,12,3,0,0,18,17,1,34.0,51.0,58.0,3,9,,栃 木,S2,S2,逃,117,25,97.0,5,0,0,0,14,13,7,7.0,19.0,38.0,3,5,5,長 崎,S1,S2,両,109,32,98.8,0,2,1,0,4,4,2,7.0,11.0,30.0,7,5,2,千 葉,A1,S2,追,90,43,97.57,0,0,3,4,0,0,2,5.0,20.0,35.0,3,6,4,徳 島,S1,S1,追,86,49,101.95,0,0,4,2,0,0,1,14.0,28.0,61.0,,,,9,UNDER_10000,0,0
20260601_宇都宮_5R,20260601,宇都宮,5,福 島,S1,S1,追,83,46,103.93,0,1,5,1,1,0,1,19.0,22.0,45.0,9,8,,福 井,S2,S2,逃,127,24,111.0,4,1,0,0,5,4,1,83.0,83.0,83.0,6,1,1,東 京,S1,S2,両,115,27,102.85,2,2,0,1,4,6,1,9.0,23.0,33.0,2,3,6,熊 本,S2,S2,追,97,36,98.2,0,0,4,0,0,0,3,4.0,16.0,36.0,3,6,3,茨 城,S1,S2,追,88,52,102.6,0,0,4,1,0,0,4,12.0,20.0,41.0,,,,宮 城,S2,S2,追,98,35,97.25,0,0,2,2,0,0,3,3.0,14.0,25.0,4,4,1,佐 賀,S2,S2,追,92,42,101.37,0,0,3,2,0,0,5,3.0,16.0,43.0,3,2,4,青 森,A1,S2,逃,123,27,97.53,4,5,0,0,8,10,0,15.0,34.0,34.0,6,1,4,和歌山,S1,S2,逃,97,36,102.34,5,1,5,0,11,9,11,24.0,37.0,51.0,3,3,5,9,UNDER_10000,0,0
20260601_宇都宮_6R,20260601,宇都宮,6,愛 知,S1,S1,両,121,23,105.56,1,4,7,0,1,1,0,19.0,38.0,51.0,7,3,,栃 木,S1,S1,両,115,31,111.05,2,5,4,0,11,6,4,23.0,32.0,50.0,1,8,,静 岡,S2,S2,逃,113,31,98.07,1,1,2,1,6,7,5,14.0,17.0,46.0,5,1,1,岡 山,S2,S2,両,119,34,97.55,0,1,4,0,0,0,1,14.0,14.0,34.0,4,7,5,神奈川,A1,S2,追,97,36,98.04,0,0,3,2,0,0,0,4.0,20.0,20.0,2,7,6,大 阪,A1,S2,追,90,41,94.86,0,0,0,0,0,0,0,0.0,0.0,4.0,,,3,群 馬,S2,S2,逃,123,27,106.2,1,5,4,0,5,3,2,25.0,41.0,58.0,1,6,1,京 都,S1,S2,両,86,48,95.79,0,0,3,1,0,0,3,3.0,13.0,26.0,6,5,1,広 島,A1,S2,両,98,43,99.07,0,0,7,2,0,0,3,14.0,32.0,42.0,2,5,2,9,UNDER_10000,0,0
20260601_宇都宮_7R,20260601,宇都宮,7,熊 本,S1,S1,逃,117,29,105.81,0,1,3,0,3,3,8,7.0,14.0,25.0,5,5,7,愛 知,S1,S1,追,105,38,110.69,0,0,6,0,0,0,5,8.0,26.0,43.0,2,5,,神奈川,S1,S1,逃,113,33,108.08,2,3,1,0,8,9,2,12.0,24.0,32.0,9,8,,山 口,S2,S2,逃,119,28,101.5,5,3,0,0,9,8,0,10.0,40.0,50.0,2,7,6,宮 城,S1,S1,追,85,47,109.27,0,1,4,5,0,0,7,13.0,43.0,56.0,7,8,,栃 木,A1,S2,追,85,47,99.17,0,0,6,2,0,0,0,13.0,26.0,36.0,7,2,2,長 崎,A1,S2,両,92,40,105.28,2,11,1,0,6,3,4,21.0,43.0,65.0,2,7,4,長 野,S2,S2,逃,113,36,99.8,7,2,0,0,13,17,0,19.0,34.0,42.0,1,3,6,岐 阜,S2,S2,両,99,38,102.71,0,0,8,2,0,0,16,21.0,35.0,53.0,1,3,2,9,50000_PLUS,1,1
20260601_宇都宮_8R,20260601,宇都宮,8,神奈川,A1,S2,逃,119,36,102.42,12,10,1,0,15,12,6,74.0,85.0,88.0,1,,,栃 木,S2,S2,逃,125,23,104.43,4,2,1,0,6,9,0,29.0,41.0,47.0,1,2,5,佐 賀,S2,S2,逃,117,26,104.37,4,1,1,3,8,12,0,18.0,33.0,44.0,1,1,2,和歌山,S1,S2,追,94,37,101.46,0,0,9,1,0,0,6,21.0,35.0,46.0,1,2,6,宮 城,S2,S2,追,92,38,103.73,0,0,7,1,0,0,15,10.0,26.0,50.0,3,5,,奈 良,A1,S2,逃,113,38,98.16,2,1,1,0,3,3,0,4.0,16.0,20.0,,,,愛 媛,S2,S2,追,81,47,102.48,0,0,4,2,0,0,10,11.0,23.0,46.0,1,7,4,東 京,S1,S2,逃,115,27,101.31,0,5,2,0,4,1,1,10.0,36.0,57.0,,,,秋 田,S1,S1,追,96,40,110.58,0,0,7,3,0,1,3,11.0,38.0,53.0,6,4,,9,20000_TO_49999,1,0
20260601_宇都宮_9R,20260601,宇都宮,9,栃 木,S1,S1,逃,115,31,110.84,8,7,0,0,20,18,0,28.0,46.0,62.0,9,1,,岡 山,S1,S1,両,93,39,107.58,0,3,2,2,0,0,1,16.0,28.0,52.0,7,3,,大 阪,S1,S1,両,96,40,110.0,0,3,5,7,2,3,5,17.0,53.0,75.0,5,1,,福 井,A1,S2,逃,117,27,98.86,0,3,2,0,5,4,0,25.0,31.0,37.0,5,5,4,愛 媛,S2,S2,逃,119,28,98.93,0,2,2,1,2,2,0,12.0,15.0,25.0,5,3,5,福 島,S2,S2,両,91,40,92.7,0,2,1,0,4,5,1,5.0,8.0,8.0,7,1,7,茨 城,S2,S1,追,90,44,109.4,0,0,6,5,0,0,7,18.0,40.0,51.0,,3,8,秋 田,A1,S2,追,89,42,96.6,0,0,1,0,0,0,0,0.0,4.0,20.0,,,,奈 良,S2,S2,追,101,45,101.87,0,0,1,0,0,0,1,0.0,5.0,23.0,3,4,7,9,UNDER_10000,0,0
20260601_宇都宮_10R,20260601,宇都宮,10,福 井,SS,SS,逃,117,32,116.72,1,5,0,0,6,6,0,16.0,33.0,44.0,8,4,,宮 城,S1,S1,両,91,40,114.77,0,1,6,0,0,0,4,13.0,30.0,47.0,7,8,,山 口,S1,S1,追,80,50,109.2,0,1,4,3,0,0,4,11.0,29.0,48.0,7,1,,広 島,S2,S1,逃,123,28,109.17,5,2,1,1,11,15,6,12.0,37.0,50.0,6,3,,三 重,S1,S1,両,90,41,112.0,0,0,10,0,0,0,5,30.0,30.0,51.0,4,3,,青 森,S2,S2,逃,115,26,101.24,5,4,1,1,11,10,0,10.0,37.0,51.0,3,7,2,大 阪,SS,SS,追,88,44,114.0,0,2,3,0,1,0,3,17.0,29.0,35.0,6,6,,福 岡,S1,S1,追,90,41,109.06,0,0,6,4,0,0,1,9.0,30.0,48.0,8,7,,岩 手,S1,S1,両,88,43,111.26,0,0,7,1,0,0,3,30.0,34.0,47.0,1,5,,9,10000_TO_19999,0,0
