transformed_feature,original_feature,coefficient,absolute_coefficient,direction
p6_prefecture_石 川,p6_prefecture,1.8936838921468502,1.8936838921468502,HIGH_RISK
p6_prefecture_群 馬,p6_prefecture,1.5275355194986449,1.5275355194986449,HIGH_RISK
p8_riding_style_両,p8_riding_style,-1.4299971173107748,1.4299971173107748,LOW_RISK
p1_prefecture_大 阪,p1_prefecture,-1.404554033888968,1.404554033888968,LOW_RISK
p1_prefecture_茨 城,p1_prefecture,1.3259759042792203,1.3259759042792203,HIGH_RISK
p2_prefecture_栃 木,p2_prefecture,-1.3151008327688698,1.3151008327688698,LOW_RISK
p3_prefecture_静 岡,p3_prefecture,-1.2994991295848384,1.2994991295848384,LOW_RISK
p3_prefecture_山 梨,p3_prefecture,1.2894257175441224,1.2894257175441224,HIGH_RISK
p5_prefecture_秋 田,p5_prefecture,1.2820064235503454,1.2820064235503454,HIGH_RISK
p2_prefecture_山 形,p2_prefecture,1.2802115078669583,1.2802115078669583,HIGH_RISK
p2_prefecture_山 口,p2_prefecture,-1.2721889242550022,1.2721889242550022,LOW_RISK
p2_prefecture_三 重,p2_prefecture,-1.2703968112378505,1.2703968112378505,LOW_RISK
p7_prefecture_栃 木,p7_prefecture,1.2681484827822536,1.2681484827822536,HIGH_RISK
p4_prefecture_宮 崎,p4_prefecture,1.2516844515867558,1.2516844515867558,HIGH_RISK
p9_prefecture_宮 城,p9_prefecture,-1.251215213241331,1.251215213241331,LOW_RISK
p8_riding_style_逃,p8_riding_style,1.2335306433676716,1.2335306433676716,HIGH_RISK
p1_prefecture_三 重,p1_prefecture,-1.2280190259399335,1.2280190259399335,LOW_RISK
p5_prefecture_兵 庫,p5_prefecture,-1.226675157546581,1.226675157546581,LOW_RISK
p4_prefecture_三 重,p4_prefecture,-1.2129443274866105,1.2129443274866105,LOW_RISK
p2_prefecture_奈 良,p2_prefecture,-1.1975093508555068,1.1975093508555068,LOW_RISK
p2_prefecture_石 川,p2_prefecture,1.182163297945059,1.182163297945059,HIGH_RISK
p5_prefecture_富 山,p5_prefecture,-1.1617497731144748,1.1617497731144748,LOW_RISK
p6_prefecture_新 潟,p6_prefecture,1.1537039302254994,1.1537039302254994,HIGH_RISK
p5_prefecture_鹿児島,p5_prefecture,1.1352574717811015,1.1352574717811015,HIGH_RISK
p1_prefecture_香 川,p1_prefecture,1.128296982420299,1.128296982420299,HIGH_RISK
p7_prefecture_京 都,p7_prefecture,1.1187599802934252,1.1187599802934252,HIGH_RISK
p1_prefecture_富 山,p1_prefecture,1.1116495072484596,1.1116495072484596,HIGH_RISK
p5_prefecture_新 潟,p5_prefecture,-1.1041648730852085,1.1041648730852085,LOW_RISK
p4_prefecture_京 都,p4_prefecture,1.1014671523187687,1.1014671523187687,HIGH_RISK
p1_prefecture_長 崎,p1_prefecture,-1.0999129495661681,1.0999129495661681,LOW_RISK
p6_prefecture_岩 手,p6_prefecture,1.094066532771416,1.094066532771416,HIGH_RISK
p1_prefecture_沖 縄,p1_prefecture,1.0824400232030693,1.0824400232030693,HIGH_RISK
p5_prefecture_佐 賀,p5_prefecture,-1.0544199473222808,1.0544199473222808,LOW_RISK
p2_prefecture_鹿児島,p2_prefecture,1.039299444007774,1.039299444007774,HIGH_RISK
p5_prefecture_栃 木,p5_prefecture,-1.0386156923075311,1.0386156923075311,LOW_RISK
p1_prefecture_岩 手,p1_prefecture,1.0361356569227884,1.0361356569227884,HIGH_RISK
p4_prefecture_東 京,p4_prefecture,-1.0318320875720108,1.0318320875720108,LOW_RISK
p7_prefecture_富 山,p7_prefecture,1.0253929514061049,1.0253929514061049,HIGH_RISK
p3_prefecture_高 知,p3_prefecture,1.0221620723686846,1.0221620723686846,HIGH_RISK
p4_prefecture_愛 知,p4_prefecture,0.9830378307348607,0.9830378307348607,HIGH_RISK
p3_prefecture_石 川,p3_prefecture,-0.974375193907437,0.974375193907437,LOW_RISK
p9_prefecture_栃 木,p9_prefecture,0.9663996801775511,0.9663996801775511,HIGH_RISK
p9_prefecture_茨 城,p9_prefecture,-0.9633062191136579,0.9633062191136579,LOW_RISK
p6_prefecture_京 都,p6_prefecture,-0.9626949103027163,0.9626949103027163,LOW_RISK
p2_prefecture_秋 田,p2_prefecture,0.9295906015019707,0.9295906015019707,HIGH_RISK
p5_prefecture_北海道,p5_prefecture,-0.9279575963202792,0.9279575963202792,LOW_RISK
p5_prefecture_宮 城,p5_prefecture,0.9263236937011133,0.9263236937011133,HIGH_RISK
p9_prefecture_徳 島,p9_prefecture,0.9258542512702517,0.9258542512702517,HIGH_RISK
p3_prefecture_新 潟,p3_prefecture,0.9170512016438899,0.9170512016438899,HIGH_RISK
p8_previous_class_S1,p8_previous_class,0.90739689623669,0.90739689623669,HIGH_RISK
p1_previous_class_S1,p1_previous_class,-0.9068459562717095,0.9068459562717095,LOW_RISK
p7_prefecture_沖 縄,p7_prefecture,-0.8970575000617681,0.8970575000617681,LOW_RISK
p9_prefecture_神奈川,p9_prefecture,-0.8945251658590656,0.8945251658590656,LOW_RISK
p8_prefecture_静 岡,p8_prefecture,0.8927898367506233,0.8927898367506233,HIGH_RISK
p7_prefecture_北海道,p7_prefecture,0.8924675816361657,0.8924675816361657,HIGH_RISK
p2_prefecture_岩 手,p2_prefecture,-0.8819506327814999,0.8819506327814999,LOW_RISK
p2_prefecture_兵 庫,p2_prefecture,-0.8794205177576969,0.8794205177576969,LOW_RISK
p6_prefecture_長 野,p6_prefecture,-0.8770369623236992,0.8770369623236992,LOW_RISK
p5_prefecture_奈 良,p5_prefecture,0.8716503386887445,0.8716503386887445,HIGH_RISK
p4_prefecture_新 潟,p4_prefecture,0.8711884504920223,0.8711884504920223,HIGH_RISK
p7_prefecture_岡 山,p7_prefecture,-0.8648126505409077,0.8648126505409077,LOW_RISK
p7_prefecture_福 島,p7_prefecture,0.8403338433172004,0.8403338433172004,HIGH_RISK
p5_prefecture_山 梨,p5_prefecture,-0.8243324586182486,0.8243324586182486,LOW_RISK
p1_prefecture_熊 本,p1_prefecture,-0.8174661327490331,0.8174661327490331,LOW_RISK
p5_prefecture_広 島,p5_prefecture,-0.8117892903511484,0.8117892903511484,LOW_RISK
p2_prefecture_広 島,p2_prefecture,0.8117705618847821,0.8117705618847821,HIGH_RISK
p3_prefecture_群 馬,p3_prefecture,0.8035742667852931,0.8035742667852931,HIGH_RISK
p3_prefecture_長 野,p3_prefecture,-0.8034724152743443,0.8034724152743443,LOW_RISK
