original_feature,logistic_abs_coefficient_sum,logistic_signed_coefficient_sum,logistic_expanded_feature_count,random_forest_importance_sum,random_forest_expanded_feature_count,logistic_normalized,random_forest_normalized,combined_score,combined_rank
p5_prefecture,25.36154895248563,0.025650001621467335,49,0.011022919571797775,49,1.0,0.7757047005265701,0.8878523502632851,1
p1_prefecture,22.192543758075576,0.025650001617368436,44,0.009884813504604063,44,0.8750468593086674,0.6956139205594634,0.7853303899340653,2
p2_prefecture,22.766511253717717,0.025650001640255802,46,0.008860885325974184,46,0.8976782646978831,0.623558064940509,0.7606181648191961,3
p6_prefecture,20.303016627823755,0.02565000161967468,46,0.009722797556691368,46,0.8005432422862288,0.6842125371476049,0.7423778897169169,4
p7_prefecture,17.275475369473853,0.025650001625628305,46,0.010674987610495637,46,0.6811679918225468,0.7512200387191831,0.716194015270865,5
p4_prefecture,18.238407603660324,0.025650001619329316,47,0.009093184456315915,47,0.7191361867459132,0.6399054152192271,0.6795208009825702,6
p3_prefecture,18.58399342320148,0.025650001636726753,49,0.008775882156503583,49,0.7327625555528265,0.6175762234067376,0.6751693894797821,7
p5_race_score,0.0028325025174400107,0.0028325025174400107,1,0.014210200820383203,1,0.0001116849180918188,1.0,0.5000558424590459,8
p6_race_score,0.009291457224707133,0.009291457224707133,1,0.014123503170458846,1,0.00036636000593317456,0.993898914517802,0.49713263726186757,9
p3_race_score,0.027940790554543682,-0.027940790554543682,1,0.013738521061987504,1,0.0011016988988681335,0.9668069604112055,0.4839543296550368,10
p1_race_score,0.05406478719243839,0.05406478719243839,1,0.013216544821354164,1,0.002131762034476984,0.9300744576667958,0.46610310985063635,11
p7_race_score,0.034975256503884264,-0.034975256503884264,1,0.013211018652110584,1,0.001379066261662871,0.9296855701828375,0.46553231822225016,12
p2_race_score,0.026933031618223607,0.026933031618223607,1,0.012788484013922097,1,0.001061963197464087,0.8999509701212817,0.4505064666593729,13
p4_race_score,0.03591945358930692,-0.03591945358930692,1,0.01174654998091196,1,0.0014162957340106204,0.8266280068373582,0.41402215128568437,14
p3_top2_rate,0.006238996663057512,0.006238996663057512,1,0.011299161126594999,1,0.00024600219311313165,0.7951443663193984,0.3976951842562558,15
p2_top3_rate,0.015227557125711848,0.015227557125711848,1,0.010996003881612412,1,0.0006004190498869127,0.7738105900544118,0.38720550455214936,16
p4_top2_rate,0.012741658086002942,0.012741658086002942,1,0.010448666137460533,1,0.0005024006266286886,0.7352933480343852,0.3678978743305069,17
p6_graduation_term,0.010884321716370009,0.010884321716370009,1,0.010364869327510271,1,0.0004291662838402171,0.7293964004113747,0.36491278334760746,18
p3_top3_rate,0.002375010014589129,-0.002375010014589129,1,0.010191935897342776,1,9.364609468604082e-05,0.7172267321319905,0.3586601891133383,19
p2_top2_rate,0.028193044374353736,-0.028193044374353736,1,0.010125039196488867,1,0.00111164520854672,0.7125190786864494,0.356815361947498,20
p2_graduation_term,0.012069048565214568,0.012069048565214568,1,0.010083770305279493,1,0.0004758797890391354,0.7096149050064985,0.35504539239776883,21
p5_top3_rate,0.0071245042307078125,-0.0071245042307078125,1,0.009799982690298274,1,0.0002809175513709921,0.689644208000292,0.3449625627758315,22
p3_win_rate,0.0014311738921728792,-0.0014311738921728792,1,0.009755686947530906,1,5.643085502601421e-05,0.6865270287762074,0.34329172981561673,23
p4_top3_rate,0.022866466300816075,0.022866466300816075,1,0.009733009379479306,1,0.0009016194690496214,0.684931163359649,0.3429163914143493,24
p9_prefecture,13.294143464956091,0.02565000162688799,39,0.0022294837533069077,39,0.5241849971333538,0.1568931911299186,0.3405390941316362,25
p5_top2_rate,0.022455881730000165,0.022455881730000165,1,0.009583724716689467,1,0.0008854302145374016,0.6744257057185645,0.33765556796655094,26
p3_graduation_term,0.02978904905331763,-0.02978904905331763,1,0.00956552825174237,1,0.0011745753033115933,0.6731451844101679,0.33715987985673973,27
p7_top2_rate,0.026347390392586024,0.026347390392586024,1,0.009524087344312364,1,0.0010388714996054597,0.6702289056077907,0.3356338885536981,28
p2_win_rate,0.008290337626967693,0.008290337626967693,1,0.009509504007917856,1,0.0003268860921113091,0.6692026473177889,0.3347647667049501,29
p1_top3_rate,0.0005395323014592621,0.0005395323014592621,1,0.009472442151430777,1,2.1273633659760504e-05,0.6665945310106698,0.3333079023221648,30
p5_graduation_term,0.03865662642393399,0.03865662642393399,1,0.009429031362397543,1,0.0015242218247929742,0.663539627735062,0.3325319247799275,31
p7_graduation_term,0.027639600222004304,0.027639600222004304,1,0.009390242672449494,1,0.0010898230338291465,0.6608099907342667,0.3309499068840479,32
p6_top2_rate,0.002182098846955211,0.002182098846955211,1,0.009283109871545531,1,8.603965203558075e-05,0.6532708431699135,0.3266784414109745,33
p8_prefecture,11.698280157815288,0.025650001627904057,38,0.0027288975239610535,38,0.4612604766267151,0.19203792813727905,0.3266492023819971,34
p7_top3_rate,0.010757616066812945,0.010757616066812945,1,0.00924898321125521,1,0.00042417030943051347,0.6508692824374733,0.32564672637345193,35
p5_win_rate,0.001455060036502046,0.001455060036502046,1,0.00919489036399398,1,5.73726801635055e-05,0.647062661549777,0.32356001711497023,36
p2_age,0.03989060386621688,0.03989060386621688,1,0.009098499273989065,1,0.0015728772694818898,0.640279429474221,0.32092615337185143,37
p4_graduation_term,0.04139871119705611,-0.04139871119705611,1,0.009087295552126413,1,0.0016323415921722995,0.6394910013580904,0.32056167147513137,38
p4_win_rate,0.005081632430592457,-0.005081632430592457,1,0.009053873137673963,1,0.0002003675895392981,0.6371389998012575,0.31866968369539844,39
p4_age,0.05702376133899254,-0.05702376133899254,1,0.008969924925488766,1,0.0022484336996066545,0.6312313977028564,0.31673991570123156,40
p1_top2_rate,0.01602949052360466,-0.01602949052360466,1,0.008954513139491166,1,0.0006320390979918301,0.6301468397720851,0.31538943943503844,41
p5_recent_finish_2,0.07718904096187948,-0.07718904096187948,1,0.00875061626341094,1,0.0030435460036960537,0.6157982124263156,0.30942087921500583,42
p7_age,0.04939652050123928,0.04939652050123928,1,0.00876319114860034,1,0.001947693360282635,0.6166831320237476,0.3093154126920151,43
p3_age,0.06305861229927978,-0.06305861229927978,1,0.008752366888257918,1,0.0024863864749514655,0.6159214073669858,0.3092038969209686,44
p6_top3_rate,0.0102223391874062,-0.0102223391874062,1,0.008741082402695454,1,0.0004030644660764827,0.615127295749205,0.30776518010764076,45
p1_win_rate,0.013959198247493625,0.013959198247493625,1,0.008662357958441447,1,0.0005504079531437891,0.6095873005549721,0.30506885425405794,46
p5_age,0.05387758133581175,0.05387758133581175,1,0.008329015823400697,1,0.002124380550917862,0.5861293537423836,0.29412686714665076,47
p1_age,0.04524895023069848,0.04524895023069848,1,0.008291331010269125,1,0.0017841556253315406,0.5834773987413314,0.29263077718333147,48
p6_age,0.024108686338116227,0.024108686338116227,1,0.008162113693042941,1,0.0009505999173506075,0.574384119986197,0.2876673599517738,49
p1_graduation_term,0.01905581430686451,0.01905581430686451,1,0.008043375832462622,1,0.0007513663436947486,0.566028301368208,0.2833898338559514,50
p7_win_rate,0.002605726885609495,-0.002605726885609495,1,0.007910690370479092,1,0.00010274320746304864,0.5566909623917451,0.2783968527996041,51
p6_recent_finish_1,0.24839362894197806,-0.24839362894197806,1,0.007691895285576064,1,0.009794103246900995,0.5412939185590369,0.2755440109029689,52
p7_previous_class,1.401428515985652,0.025650001628006694,8,0.006501324670002613,8,0.05525800173369541,0.457511104324231,0.2563845530289632,53
p1_start_count,0.005755328362591828,0.005755328362591828,1,0.006896862717817133,1,0.00022693126407122546,0.48534590080699136,0.2427864160355313,54
p4_start_count,0.029112618702977395,0.029112618702977395,1,0.006833860398349856,1,0.0011479038112979345,0.48091230269929214,0.24103010325529503,55
p3_start_count,0.02718686948483371,0.02718686948483371,1,0.006790409362959397,1,0.001071971965741043,0.4778545672077477,0.23946326958674438,56
p6_sashi_count,0.15722017586775355,0.15722017586775355,1,0.006659178428126335,1,0.006199155113211046,0.46861958619010974,0.2374093706516604,57
p7_class,2.066672698161115,0.025650001629242386,8,0.005540927006169714,8,0.08148842572797846,0.38992601696534596,0.23570722134666222,58
p1_sashi_count,0.07249674546521039,0.07249674546521039,1,0.006585457637452895,1,0.0028585298792684795,0.46343170801686856,0.23314511894806852,59
p7_start_count,0.01643966377786107,0.01643966377786107,1,0.006596086292015943,1,0.0006482121343873934,0.46417966750719486,0.23241393982079112,60
p1_previous_class,3.2252798711236648,0.025650001630434363,8,0.004750684274607274,8,0.12717203815769154,0.3343150694811337,0.23074355381941264,61
p3_recent_finish_3,0.04467260975115793,-0.04467260975115793,1,0.00648746308558716,1,0.0017614306537369305,0.45653563715169326,0.22914853390271508,62
p2_start_count,0.024119415754736268,-0.024119415754736268,1,0.0064856652463084995,1,0.0009510229757623845,0.45640911963787445,0.22868007130681842,63
p4_recent_finish_2,0.02824630802823668,0.02824630802823668,1,0.006347348710106346,1,0.0011137453820803923,0.4466755108064109,0.22389462809424562,64
p6_win_rate,0.011342147243854711,0.011342147243854711,1,0.006346220761010485,1,0.0004472182383301589,0.4465961347926502,0.22352167651549018,65
p7_recent_finish_1,0.14941000847506208,0.14941000847506208,1,0.0060627462562968465,1,0.005891202022202147,0.4266474719766384,0.21626933699942028,66
p1_recent_finish_1,0.11404343972002308,0.11404343972002308,1,0.006040301212653024,1,0.004496706409126716,0.42506796976357836,0.21478233808635253,67
p6_previous_class,1.1620991681824109,0.02565000162385266,7,0.0053721858577776465,7,0.04582130099228486,0.37805136786467847,0.21193633442848167,68
p3_nige_count,0.22061294208855256,0.22061294208855256,1,0.00581463881626506,1,0.008698717199878707,0.4091876596088991,0.20894318840438889,69
p1_recent_finish_2,0.04133037570722508,0.04133037570722508,1,0.00586661317044424,1,0.0016296471396387,0.4128451979390138,0.20723742253932625,70
p7_riding_style,0.5768796154187789,0.02565000162621193,4,0.005540763065437127,4,0.02274622959739374,0.38991448013102115,0.20633035486420745,71
p5_start_count,0.04862656005156196,-0.04862656005156196,1,0.005809243900659941,1,0.001917333998119077,0.40880800870365774,0.2053626713508884,72
p1_back_count,0.2812011450154942,-0.2812011450154942,1,0.005663901807771085,1,0.011087696005568078,0.39857999752169215,0.20483384676363012,73
p5_previous_class,2.4034346779474642,0.02565000162376853,8,0.004473980080102265,8,0.09476687257746963,0.3148428468149978,0.20480485969623372,74
p3_recent_finish_2,0.03475978490965618,0.03475978490965618,1,0.005768743378457124,1,0.0013705702666180983,0.40595790667380305,0.20366423847021056,75
p5_recent_finish_1,0.02803195170682105,-0.02803195170682105,1,0.0057189887314584575,1,0.001105293361984253,0.40245657353801106,0.20178093344999765,76
p5_home_count,0.015584642395678678,-0.015584642395678678,1,0.005713951532789693,1,0.0006144988393601749,0.4021020958826679,0.20135829736101402,77
p3_sashi_count,0.07522018212474932,0.07522018212474932,1,0.005643922340370638,1,0.002965914355849198,0.3971740027962842,0.2000699585760667,78
p2_recent_finish_3,0.09722100761764019,-0.09722100761764019,1,0.00559727853411787,1,0.0038334018083746326,0.39389158569026683,0.19886249374932075,79
p7_recent_finish_2,0.030664012116224396,-0.030664012116224396,1,0.005601657921809118,1,0.001209074894190131,0.3941997718831717,0.1977044233886809,80
p1_makuri_count,0.053946200062134464,0.053946200062134464,1,0.005582326135778172,1,0.0021270861714007146,0.3928393557796064,0.19748322097550355,81
p2_recent_finish_1,0.027823114681508172,0.027823114681508172,1,0.005571212652528923,1,0.001097058966454858,0.39205727793357714,0.196577168450016,82
p6_start_count,0.004715221728239056,0.004715221728239056,1,0.005574820417829033,1,0.00018592010042734112,0.39231116352926376,0.19624854181484555,83
p7_recent_finish_3,0.11227963833284883,0.11227963833284883,1,0.005476965366010843,1,0.004427160129028497,0.3854249095589591,0.1949260348439938,84
p3_home_count,0.050006429443824864,0.050006429443824864,1,0.005448332828107317,1,0.00197174192859872,0.3834099811096402,0.19269086151911946,85
p2_previous_class,1.6659158501039315,0.025650001624504124,8,0.004519718778043415,8,0.06568667604746825,0.31806156965496934,0.1918741228512188,86
p5_back_count,0.1064597986882873,0.1064597986882873,1,0.005363955128860841,1,0.004197685200053737,0.3774721551553831,0.19083492017771844,87
p6_recent_finish_2,0.11014046053117124,-0.11014046053117124,1,0.005347363640297678,1,0.004342812843865225,0.37630457921659943,0.19032369603023233,88
p4_recent_finish_3,0.10783783227479043,0.10783783227479043,1,0.005275196664834701,1,0.004252020745137551,0.37122604609977966,0.1877390334224586,89
p4_sashi_count,0.03686908528136932,-0.03686908528136932,1,0.005309089012923732,1,0.001453739491639207,0.373611117818148,0.18753242865489358,90
p5_recent_finish_3,0.05599168658035224,-0.05599168658035224,1,0.0052950768926052294,1,0.0022077392309614676,0.37262505713571176,0.1874163981833366,91
p6_home_count,0.14241458727194767,0.14241458727194767,1,0.00523639121287366,1,0.005615374184706093,0.3684952295229035,0.18705530185380478,92
p3_back_count,0.14113712773286588,-0.14113712773286588,1,0.005215297017087656,1,0.005565004251013357,0.36701078915132573,0.18628789670116955,93
p1_home_count,0.2853929449712645,0.2853929449712645,1,0.005091162320758178,1,0.011252977706761627,0.35827518450375323,0.18476408110525744,94
p2_sashi_count,0.05165266558932719,0.05165266558932719,1,0.005216796999899156,1,0.0020366526384527008,0.3671163459151224,0.18457649927678754,95
p3_previous_class,1.398307642225372,0.025650001624665426,8,0.004452655492850298,8,0.05513494640430181,0.3133421933392651,0.18423856987178347,96
p1_recent_finish_3,0.0572823575770634,-0.0572823575770634,1,0.005170470353219106,1,0.002258630089367995,0.36385624795692895,0.18305743902314847,97
p3_recent_finish_1,0.06374154036255317,0.06374154036255317,1,0.005106697929385088,1,0.0025133141702808337,0.3593684560783974,0.18094088512433912,98
p4_recent_finish_1,0.19466915429314005,0.19466915429314005,1,0.004995223009082889,1,0.007675759657182175,0.3515237449647938,0.17959975231098801,99
p2_recent_finish_2,0.009340855382795967,0.009340855382795967,1,0.0050945437035768105,1,0.0003683077638631567,0.3585131391154701,0.17944072343966663,100
p4_previous_class,0.9143944463049286,0.025650001624424754,7,0.0045399753570291345,7,0.03605436119134635,0.3194870652719393,0.17777071323164284,101
p5_class,2.1013189341038054,0.025650001628623957,7,0.00385764558862102,7,0.08285451878513357,0.2714701669161204,0.17716234285062699,102
