transformed_feature,original_feature,importance
p5_race_score,p5_race_score,0.014210200820383203
p6_race_score,p6_race_score,0.014123503170458846
p3_race_score,p3_race_score,0.013738521061987504
p1_race_score,p1_race_score,0.013216544821354164
p7_race_score,p7_race_score,0.013211018652110584
p2_race_score,p2_race_score,0.012788484013922097
p4_race_score,p4_race_score,0.01174654998091196
p3_top2_rate,p3_top2_rate,0.011299161126594999
p2_top3_rate,p2_top3_rate,0.010996003881612412
p4_top2_rate,p4_top2_rate,0.010448666137460533
p6_graduation_term,p6_graduation_term,0.010364869327510271
p3_top3_rate,p3_top3_rate,0.010191935897342776
p2_top2_rate,p2_top2_rate,0.010125039196488867
p2_graduation_term,p2_graduation_term,0.010083770305279493
p5_top3_rate,p5_top3_rate,0.009799982690298274
p3_win_rate,p3_win_rate,0.009755686947530906
p4_top3_rate,p4_top3_rate,0.009733009379479306
p5_top2_rate,p5_top2_rate,0.009583724716689467
p3_graduation_term,p3_graduation_term,0.00956552825174237
p7_top2_rate,p7_top2_rate,0.009524087344312364
p2_win_rate,p2_win_rate,0.009509504007917856
p1_top3_rate,p1_top3_rate,0.009472442151430777
p5_graduation_term,p5_graduation_term,0.009429031362397543
p7_graduation_term,p7_graduation_term,0.009390242672449494
p6_top2_rate,p6_top2_rate,0.009283109871545531
p7_top3_rate,p7_top3_rate,0.00924898321125521
p5_win_rate,p5_win_rate,0.00919489036399398
p2_age,p2_age,0.009098499273989065
p4_graduation_term,p4_graduation_term,0.009087295552126413
p4_win_rate,p4_win_rate,0.009053873137673963
p4_age,p4_age,0.008969924925488766
p1_top2_rate,p1_top2_rate,0.008954513139491166
p7_age,p7_age,0.00876319114860034
p3_age,p3_age,0.008752366888257918
p5_recent_finish_2,p5_recent_finish_2,0.00875061626341094
p6_top3_rate,p6_top3_rate,0.008741082402695454
p1_win_rate,p1_win_rate,0.008662357958441447
p5_age,p5_age,0.008329015823400697
p1_age,p1_age,0.008291331010269125
p6_age,p6_age,0.008162113693042941
