race_key,race_date,venue,race_no,player_count,p1_prefecture,p1_previous_class,p1_class,p1_riding_style,p1_graduation_term,p1_age,p1_race_score,p1_nige_count,p1_makuri_count,p1_sashi_count,p1_mark_count,p1_back_count,p1_home_count,p1_start_count,p1_win_rate,p1_top2_rate,p1_top3_rate,p1_recent_finish_1,p1_recent_finish_2,p1_recent_finish_3,p1_recent_venue_code,p1_recent_grade,p2_prefecture,p2_previous_class,p2_class,p2_riding_style,p2_graduation_term,p2_age,p2_race_score,p2_nige_count,p2_makuri_count,p2_sashi_count,p2_mark_count,p2_back_count,p2_home_count,p2_start_count,p2_win_rate,p2_top2_rate,p2_top3_rate,p2_recent_finish_1,p2_recent_finish_2,p2_recent_finish_3,p2_recent_venue_code,p2_recent_grade,p3_prefecture,p3_previous_class,p3_class,p3_riding_style,p3_graduation_term,p3_age,p3_race_score,p3_nige_count,p3_makuri_count,p3_sashi_count,p3_mark_count,p3_back_count,p3_home_count,p3_start_count,p3_win_rate,p3_top2_rate,p3_top3_rate,p3_recent_finish_1,p3_recent_finish_2,p3_recent_finish_3,p3_recent_venue_code,p3_recent_grade,p4_prefecture,p4_previous_class,p4_class,p4_riding_style,p4_graduation_term,p4_age,p4_race_score,p4_nige_count,p4_makuri_count,p4_sashi_count,p4_mark_count,p4_back_count,p4_home_count,p4_start_count,p4_win_rate,p4_top2_rate,p4_top3_rate,p4_recent_finish_1,p4_recent_finish_2,p4_recent_finish_3,p4_recent_venue_code,p4_recent_grade,p5_prefecture,p5_previous_class,p5_class,p5_riding_style,p5_graduation_term,p5_age,p5_race_score,p5_nige_count,p5_makuri_count,p5_sashi_count,p5_mark_count,p5_back_count,p5_home_count,p5_start_count,p5_win_rate,p5_top2_rate,p5_top3_rate,p5_recent_finish_1,p5_recent_finish_2,p5_recent_finish_3,p5_recent_venue_code,p5_recent_grade,p6_prefecture,p6_previous_class,p6_class,p6_riding_style,p6_graduation_term,p6_age,p6_race_score,p6_nige_count,p6_makuri_count,p6_sashi_count,p6_mark_count,p6_back_count,p6_home_count,p6_start_count,p6_win_rate,p6_top2_rate,p6_top3_rate,p6_recent_finish_1,p6_recent_finish_2,p6_recent_finish_3,p6_recent_venue_code,p6_recent_grade,p7_prefecture,p7_previous_class,p7_class,p7_riding_style,p7_graduation_term,p7_age,p7_race_score,p7_nige_count,p7_makuri_count,p7_sashi_count,p7_mark_count,p7_back_count,p7_home_count,p7_start_count,p7_win_rate,p7_top2_rate,p7_top3_rate,p7_recent_finish_1,p7_recent_finish_2,p7_recent_finish_3,p7_recent_venue_code,p7_recent_grade,target_payout_label_id,target_payout_label,target_is_20000_plus,target_is_50000_plus
20260707_久留米_10R,20260707,久留米,10,7,福 岡,A2,A1,逃,119,29,88.18,9,5,0,0,16,14,7,37.0,51.0,62.0,2,1,6,36,Ｆ１,岡 山,A2,A2,両,97,38,81.44,1,0,0,0,4,4,4,0.0,5.0,33.0,,,,62,Ｆ２,宮 城,A1,A1,追,93,41,81.72,0,0,2,2,0,0,0,0.0,18.0,22.0,4,4,6,11,Ｆ１,佐 賀,A2,A2,追,80,49,81.0,0,0,1,1,0,0,1,6.0,13.0,20.0,,,,81,Ｆ２,山 口,A1,A1,追,84,47,84.66,0,0,2,4,0,0,10,4.0,25.0,37.0,5,4,4,84,Ｆ１,福 島,A3,A2,両,105,39,66.47,1,0,1,1,4,6,2,4.0,14.0,14.0,2,5,6,85,Ｆ２,福 岡,A1,A1,逃,119,32,88.93,0,0,4,0,1,2,5,23.0,23.0,23.0,7,6,5,84,Ｆ２,0,UNDER_10000,0,0
20260707_久留米_11R,20260707,久留米,11,7,栃 木,A1,A1,両,117,30,92.2,2,4,0,0,2,2,0,20.0,40.0,66.0,7,1,6,27,Ｆ２,熊 本,A1,A1,逃,123,22,94.6,2,8,0,0,7,3,5,43.0,62.0,75.0,7,1,5,61,Ｆ２,香 川,S2,A1,追,93,42,96.07,0,0,3,1,0,0,17,7.0,15.0,26.0,7,6,1,31,Ｆ１,千 葉,S2,A1,両,97,38,99.0,0,1,2,1,0,0,0,11.0,44.0,55.0,6,3,2,74,Ｆ１,岡 山,S2,A1,逃,119,25,98.24,3,0,2,0,7,6,2,8.0,20.0,36.0,6,3,3,35,Ｆ１,徳 島,A1,A1,追,81,50,91.23,0,0,7,2,0,0,1,35.0,52.0,58.0,,,,74,Ｆ１,埼 玉,A1,A1,両,91,42,91.37,0,4,4,0,1,0,2,35.0,47.0,70.0,6,,,43,Ｆ２,0,UNDER_10000,0,0
20260707_久留米_2R,20260707,久留米,2,7,福 岡,A3,A3,逃,129,27,72.55,0,0,1,1,0,1,1,0.0,22.0,33.0,3,4,5,53,Ｆ２,埼 玉,A3,A3,追,63,57,72.63,0,0,3,4,0,0,0,9.0,31.0,54.0,7,4,1,47,Ｆ２,沖 縄,A3,A3,追,56,61,68.13,0,0,3,3,0,0,0,6.0,20.0,36.0,6,2,2,85,Ｆ２,茨 城,A3,A3,両,95,38,70.33,3,0,3,1,5,5,6,8.0,29.0,41.0,6,4,6,12,Ｆ２,静 岡,A3,A3,追,57,59,67.29,0,0,2,0,0,0,1,3.0,7.0,37.0,5,3,3,12,Ｆ２,岡 山,A3,A3,追,69,54,65.45,0,1,1,2,0,0,0,4.0,16.0,20.0,6,6,4,73,Ｆ２,沖 縄,A2,A3,両,98,49,77.57,1,0,1,0,1,1,0,4.0,9.0,9.0,5,4,1,62,Ｆ２,2,20000_TO_49999,1,0
20260707_久留米_3R,20260707,久留米,3,7,高 知,A2,A3,追,99,48,79.0,0,0,0,2,0,0,0,0.0,11.0,11.0,7,2,5,74,Ｆ２,群 馬,A3,A3,両,95,37,68.93,1,0,2,0,1,2,1,16.0,16.0,33.0,7,1,7,37,Ｆ２,神奈川,A3,A3,逃,113,42,75.0,6,1,2,0,9,10,5,27.0,50.0,77.0,,,,85,Ｆ２,愛 媛,A3,A3,逃,129,25,71.0,0,0,0,0,2,3,0,0.0,0.0,16.0,7,5,6,87,Ｆ２,高 知,A3,A3,追,96,43,68.81,0,0,4,1,0,0,1,7.0,18.0,37.0,5,2,2,27,Ｆ２,青 森,A3,A3,追,95,38,66.45,0,0,2,1,0,0,2,8.0,12.0,20.0,6,1,1,37,Ｆ２,神奈川,A2,A3,追,93,43,77.69,0,0,0,0,0,0,0,0.0,0.0,7.0,,,,37,Ｆ２,0,UNDER_10000,0,0
20260707_久留米_4R,20260707,久留米,4,7,福 岡,A2,A3,追,92,44,80.11,0,0,5,2,1,0,2,19.0,26.0,34.0,1,6,1,47,Ｆ２,福 島,A3,A3,逃,100,35,69.8,0,3,1,1,5,4,2,20.0,25.0,35.0,5,6,,21,Ｆ２,愛 媛,A3,A3,追,70,55,68.61,0,0,1,0,0,0,2,0.0,7.0,38.0,5,,,46,Ｆ２,栃 木,A3,A3,追,93,39,70.9,0,0,3,2,0,0,3,9.0,23.0,33.0,4,7,,37,Ｆ２,福 岡,A3,A3,逃,129,23,77.0,0,2,0,0,1,0,0,0.0,50.0,50.0,,,,53,Ｆ２,静 岡,A3,A3,追,85,47,66.54,0,0,1,1,0,0,1,0.0,18.0,36.0,,,,81,Ｆ２,沖 縄,A3,A3,追,73,53,69.37,0,0,4,3,0,0,3,11.0,25.0,44.0,6,3,5,85,Ｆ２,0,UNDER_10000,0,0
20260707_久留米_5R,20260707,久留米,5,7,福 岡,L1,L1,両,124,23,48.36,0,3,1,1,3,3,1,8.0,20.0,32.0,4,3,7,61,Ｆ２,静 岡,L1,L1,両,112,28,54.33,4,3,3,1,3,6,1,23.0,52.0,76.0,3,2,5,43,Ｆ２,岐 阜,L1,L1,両,124,22,51.88,2,4,1,1,4,3,0,7.0,30.0,61.0,2,2,,44,Ｆ２,神奈川,L1,L1,両,128,28,48.83,2,0,1,1,4,8,2,8.0,16.0,36.0,5,4,3,81,Ｆ１,大 阪,L1,L1,追,114,32,46.5,0,0,0,0,0,0,14,0.0,0.0,12.0,5,5,6,61,Ｆ２,岐 阜,L1,L1,両,130,21,45.11,0,0,0,1,0,0,2,0.0,11.0,11.0,6,2,7,87,Ｆ２,埼 玉,L1,L1,両,126,21,53.7,4,3,4,1,3,6,6,29.0,50.0,66.0,1,1,1,87,Ｆ２,0,UNDER_10000,0,0
20260707_久留米_6R,20260707,久留米,6,7,埼 玉,L1,L1,両,106,46,52.61,1,0,3,7,2,4,2,0.0,40.0,59.0,2,2,2,21,Ｆ２,三 重,L1,L1,両,126,22,50.36,2,1,1,1,5,5,2,12.0,20.0,40.0,5,7,1,27,Ｆ２,埼 玉,L1,L1,追,102,49,44.59,0,0,0,0,0,0,0,0.0,0.0,9.0,,,,44,Ｆ２,福 岡,L1,L1,両,130,27,50.88,1,2,1,0,1,1,4,0.0,44.0,77.0,2,2,3,87,Ｆ２,福 井,L1,L1,両,126,23,45.28,0,0,0,1,1,1,3,0.0,4.0,8.0,7,6,7,27,Ｆ２,宮 城,L1,L1,両,120,25,47.17,0,0,1,1,0,0,0,4.0,8.0,17.0,6,6,7,35,Ｆ１,山 口,L1,L1,両,104,33,57.14,7,9,2,0,14,7,0,66.0,85.0,85.0,1,2,4,43,Ｆ２,1,10000_TO_19999,0,0
20260707_久留米_7R,20260707,久留米,7,7,静 岡,A1,A1,追,89,43,85.59,0,0,4,0,0,0,5,8.0,17.0,39.0,3,5,5,62,Ｆ２,長 崎,A2,A2,両,99,47,80.16,0,0,0,0,1,2,10,0.0,0.0,20.0,3,7,6,74,Ｆ２,徳 島,A1,A2,追,82,49,82.56,0,0,1,0,0,0,2,5.0,5.0,35.0,3,7,3,35,Ｆ１,佐 賀,A1,A2,追,86,47,86.95,1,0,2,2,1,1,1,0.0,20.0,37.0,4,4,4,45,Ｆ２,埼 玉,A2,A2,両,92,41,85.5,7,1,0,0,7,10,3,16.0,33.0,45.0,2,6,7,84,Ｆ１,香 川,A3,A2,追,85,45,70.75,0,2,2,3,0,0,5,9.0,21.0,50.0,4,6,2,85,Ｆ２,佐 賀,A1,A1,追,93,42,84.14,1,3,5,2,4,3,1,22.0,40.0,59.0,5,1,1,45,Ｆ２,0,UNDER_10000,0,0
20260707_久留米_8R,20260707,久留米,8,7,岡 山,A1,A1,追,82,48,86.13,0,0,4,4,0,0,1,13.0,34.0,47.0,2,7,,84,Ｆ２,大 分,A1,A1,追,92,38,88.25,0,0,4,5,0,0,0,12.0,37.0,66.0,2,3,5,46,Ｆ１,青 森,A1,A1,逃,121,31,85.0,7,0,0,0,12,14,13,9.0,33.0,52.0,2,7,5,81,Ｆ１,香 川,A2,A2,逃,121,31,84.33,4,2,2,0,3,8,2,8.0,33.0,45.0,6,3,6,61,Ｆ２,沖 縄,A2,A2,追,73,51,80.8,0,0,0,2,0,0,4,0.0,9.0,28.0,,6,3,62,Ｆ２,長 崎,A2,A2,逃,127,23,79.25,4,4,2,0,6,6,9,46.0,76.0,84.0,1,,,23,Ｆ２,千 葉,A1,A2,追,92,41,84.44,0,0,3,6,0,0,8,3.0,33.0,51.0,5,3,4,62,Ｆ２,0,UNDER_10000,0,0
20260707_久留米_9R,20260707,久留米,9,7,福 岡,A2,A2,追,84,49,85.18,0,0,3,2,0,0,8,7.0,18.0,48.0,1,5,6,55,Ｆ１,静 岡,A2,A2,追,78,50,82.27,0,0,1,3,0,0,0,5.0,22.0,33.0,6,2,3,21,Ｆ２,群 馬,A2,A2,追,75,50,81.35,0,0,2,0,0,0,0,11.0,11.0,17.0,6,,4,21,Ｆ２,福 岡,A1,A1,追,98,35,87.47,0,0,6,4,0,0,5,28.0,47.0,61.0,5,2,1,84,Ｆ１,鹿児島,A1,A1,逃,94,42,86.56,1,3,0,0,6,6,0,22.0,22.0,27.0,5,7,1,55,Ｆ１,岡 山,A2,A2,追,64,56,79.81,0,0,1,0,0,0,0,3.0,3.0,11.0,7,7,4,74,Ｆ２,宮 城,A2,A2,逃,88,44,81.16,1,1,1,1,10,11,12,6.0,13.0,23.0,5,5,4,35,Ｆ１,0,UNDER_10000,0,0
