レースキー,開催場,レース番号,戦型,提供者,line_1,line_2,line_3,line_4,line_5,line_6,line_7
20260713_宇都宮_1R,宇都宮,1,,,,,,,,,
20260713_宇都宮_2R,宇都宮,2,,,,,,,,,
20260713_宇都宮_3R,宇都宮,3,,,,,,,,,
20260713_宇都宮_4R,宇都宮,4,,,,,,,,,
20260713_宇都宮_5R,宇都宮,5,,,,,,,,,
20260713_宇都宮_6R,宇都宮,6,,,,,,,,,
20260713_宇都宮_7R,宇都宮,7,,,,,,,,,
20260713_宇都宮_8R,宇都宮,8,,,,,,,,,
20260713_宇都宮_9R,宇都宮,9,,,,,,,,,
20260713_宇都宮_10R,宇都宮,10,,,,,,,,,
20260713_宇都宮_11R,宇都宮,11,,,,,,,,,
20260713_宇都宮_12R,宇都宮,12,,,,,,,,,
20260713_岐阜_1R,岐阜,1,,,,,,,,,
20260713_岐阜_2R,岐阜,2,,,,,,,,,
20260713_岐阜_3R,岐阜,3,,,,,,,,,
20260713_岐阜_4R,岐阜,4,,,,,,,,,
20260713_岐阜_5R,岐阜,5,,,,,,,,,
20260713_岐阜_6R,岐阜,6,,,,,,,,,
20260713_岐阜_7R,岐阜,7,,,,,,,,,
20260713_岐阜_8R,岐阜,8,,,,,,,,,
20260713_岐阜_9R,岐阜,9,,,,,,,,,
20260713_岐阜_10R,岐阜,10,,,,,,,,,
20260713_岐阜_11R,岐阜,11,,,,,,,,,
20260713_岐阜_12R,岐阜,12,,,,,,,,,
20260713_佐世保_1R,佐世保,1,,,,,,,,,
20260713_佐世保_2R,佐世保,2,,,,,,,,,
20260713_佐世保_3R,佐世保,3,,,,,,,,,
20260713_佐世保_4R,佐世保,4,,,,,,,,,
20260713_佐世保_5R,佐世保,5,四分戦,株式会社百万弗出版社,5-1,2-6,3-7,4,,,
20260713_佐世保_6R,佐世保,6,コマ切れ,株式会社百万弗出版社,7,5,2,1,6,3,4
20260713_佐世保_7R,佐世保,7,コマ切れ,株式会社百万弗出版社,6,5,1,4,2,3,7
20260713_佐世保_8R,佐世保,8,三分戦,株式会社百万弗出版社,7-5-1,2-6,4-3,,,,
20260713_佐世保_9R,佐世保,9,三分戦,株式会社百万弗出版社,1-4-7,5-2,6-3,,,,
20260713_佐世保_10R,佐世保,10,三分戦,株式会社百万弗出版社,2-7-6,4-1,3-5,,,,
20260713_佐世保_11R,佐世保,11,三分戦,株式会社百万弗出版社,7-4-1,6-3,2-5,,,,
20260713_佐世保_12R,佐世保,12,コマ切れ,株式会社百万弗出版社,7-2,4,1,3-6,5,,
20260713_京王閣_1R,京王閣,1,三分戦,赤競,4-1-7,3-2,6-5,,,,
20260713_京王閣_2R,京王閣,2,三分戦,赤競,2-6,7-1,3-4-5,,,,
20260713_京王閣_3R,京王閣,3,二分戦,赤競,2-3-5,6,7,4-1,,,
20260713_京王閣_4R,京王閣,4,二分戦,赤競,2-6-4-7,1-3,5,,,,
20260713_京王閣_5R,京王閣,5,コマ切れ,赤競,5-1-6,4,2-3,7,,,
20260713_京王閣_6R,京王閣,6,三分戦,赤競,1-3-7,6-2,4-5,,,,
20260713_京王閣_7R,京王閣,7,三分戦,赤競,1-2-6,3-4,7-5,,,,
20260713_京王閣_8R,京王閣,8,コマ切れ,赤競,1-2-5,4,6-3,7,,,
20260713_京王閣_9R,京王閣,9,三分戦,赤競,5-4,7-1,2-3,6,,,
20260713_岸和田_1R,岸和田,1,,,,,,,,,
20260713_岸和田_2R,岸和田,2,,,,,,,,,
20260713_岸和田_3R,岸和田,3,,,,,,,,,
20260713_岸和田_4R,岸和田,4,,,,,,,,,
20260713_岸和田_5R,岸和田,5,,,,,,,,,
20260713_岸和田_6R,岸和田,6,,,,,,,,,
20260713_岸和田_7R,岸和田,7,,,,,,,,,
20260713_岸和田_8R,岸和田,8,,,,,,,,,
20260713_岸和田_9R,岸和田,9,,,,,,,,,
20260713_岸和田_10R,岸和田,10,,,,,,,,,
20260713_岸和田_11R,岸和田,11,,,,,,,,,
20260713_広島_1R,広島,1,ライン無し,リズム,5,1,3,4,6,2,7
20260713_広島_2R,広島,2,ライン無し,リズム,4,2,6,7,1,3,5
20260713_広島_3R,広島,3,二分戦,リズム,4-1-6,5-2-3,7,,,,
20260713_広島_4R,広島,4,コマ切れ,リズム,6-1-4,5,3-2,7,,,
20260713_広島_5R,広島,5,二分戦,リズム,2-1-5-7,3-4,6,,,,
20260713_広島_6R,広島,6,三分戦,リズム,1-2-5,7-3,6-4,,,,
20260713_広島_7R,広島,7,二分戦,リズム,2-1-5,4,6-3-7,,,,
20260713_広島_8R,広島,8,コマ切れ,リズム,2-1-5,3,4-6,7,,,
20260713_広島_9R,広島,9,三分戦,リズム,3-5,1-2,4-6,7,,,
20260713_松山_1R,松山,1,,,,,,,,,
20260713_松山_2R,松山,2,,,,,,,,,
20260713_松山_3R,松山,3,,,,,,,,,
20260713_松山_4R,松山,4,,,,,,,,,
20260713_松山_5R,松山,5,三分戦,金星,4-7-1,6-2,3-5,,,,
20260713_松山_6R,松山,6,三分戦,金星,3-4-1,7-2,5-6,,,,
20260713_松山_7R,松山,7,三分戦,金星,1-6,2-4-7,5-3,,,,
20260713_松山_8R,松山,8,三分戦,金星,6-1,4-2-7,5-3,,,,
20260713_松山_9R,松山,9,三分戦,金星,3-6,1-5,4-2-7,,,,
20260713_松山_10R,松山,10,ライン無し,金星,5,3,1,2,4,6,7
20260713_松山_11R,松山,11,三分戦,金星,6,1-3,2-4,7-5,,,
20260713_熊本_1R,熊本,1,,,,,,,,,
20260713_熊本_2R,熊本,2,,,,,,,,,
20260713_熊本_3R,熊本,3,,,,,,,,,
20260713_熊本_4R,熊本,4,,,,,,,,,
20260713_熊本_5R,熊本,5,,,,,,,,,
20260713_熊本_6R,熊本,6,,,,,,,,,
20260713_熊本_7R,熊本,7,,,,,,,,,
