レースキー,開催日,競輪場,レース番号,車番,登録番号,選手名,府県,年齢,期別,級班,前級班,脚質,ギヤ倍率,平均競走得点,勝率,２連対率,３連対率,逃げ,捲り,差し,マーク,バック,ホーム,スタート,誘導選手,status
20260719_高知_1R,20260719,高知,1,1,015006,石塚 輪太郎,和歌山,32,105,S2,S1,逃,,108.65,23.0,50.0,60.0,0,11,4,0,5,2,2,,
20260719_高知_1R,20260719,高知,1,2,014356,佐藤 一伸,福 島,38,94,S2,S1,両,,110.15,19.0,28.0,57.0,0,4,2,0,2,0,1,,
20260719_高知_1R,20260719,高知,1,3,013851,和田 健太郎,千 葉,45,87,S1,S1,追,,109.57,14.0,32.0,42.0,0,0,8,1,0,0,1,,
20260719_高知_1R,20260719,高知,1,4,015373,晝田 宗一郎,岡 山,27,115,S1,S2,逃,,103.66,10.0,20.0,33.0,2,3,1,0,7,9,2,,
20260719_高知_1R,20260719,高知,1,5,014458,近藤 保,千 葉,43,95,S1,S1,追,,105.51,18.0,40.0,51.0,0,1,8,2,0,0,3,,
20260719_高知_1R,20260719,高知,1,6,015601,五十嵐 綾,福 島,25,121,S2,A1,逃,,94.21,32.0,50.0,60.0,2,9,2,1,4,3,11,,
20260719_高知_1R,20260719,高知,1,7,013961,松村 友和,大 阪,46,88,S2,S2,追,,104.88,11.0,37.0,59.0,0,0,6,4,0,0,3,,
20260719_高知_1R,20260719,高知,1,8,015807,塩島 嵩一朗,神奈川,26,125,S1,S2,逃,,101.05,23.0,33.0,57.0,4,3,0,0,12,11,3,,
20260719_高知_1R,20260719,高知,1,9,013059,香川 雄介,香 川,52,76,S1,S1,追,,105.41,9.0,18.0,28.0,0,0,3,3,0,0,0,,
20260719_高知_2R,20260719,高知,2,1,015051,簗田 一輝,静 岡,30,107,S1,S1,両,,112.23,7.0,33.0,51.0,0,1,5,3,1,1,7,,
20260719_高知_2R,20260719,高知,2,2,015268,山田 諒,岐 阜,27,113,S1,S1,両,,106.57,23.0,38.0,38.0,2,5,3,0,1,2,6,,
20260719_高知_2R,20260719,高知,2,3,013745,中川 誠一郎,熊 本,47,85,S1,S1,両,,104.47,28.0,38.0,61.0,0,3,4,1,0,0,6,,
20260719_高知_2R,20260719,高知,2,4,015378,今野 有樹,愛 媛,29,115,S2,S2,両,,100.05,2.0,22.0,37.0,0,0,4,4,0,1,7,,
20260719_高知_2R,20260719,高知,2,5,015518,吉田 有希,岐 阜,24,119,S1,S1,逃,,107.9,13.0,31.0,40.0,5,0,2,0,7,10,0,,
20260719_高知_2R,20260719,高知,2,6,015738,梶原 海斗,福 岡,26,123,S1,S2,逃,,96.71,7.0,21.0,28.0,2,1,0,0,6,5,0,,
20260719_高知_2R,20260719,高知,2,7,015436,青野 将大,神奈川,32,117,S1,S1,逃,,108.72,20.0,40.0,45.0,3,2,2,1,6,6,0,,
20260719_高知_2R,20260719,高知,2,8,012987,堤 洋,徳 島,50,75,S1,S2,追,,99.44,13.0,24.0,58.0,0,0,6,1,0,0,0,,
20260719_高知_2R,20260719,高知,2,9,015479,松岡 辰泰,熊 本,29,117,S1,S1,逃,,102.76,11.0,22.0,25.0,0,5,0,1,4,3,9,,
20260719_高知_3R,20260719,高知,3,1,015052,渡邉 豪大,福 岡,37,107,S2,S2,追,,106.85,22.0,31.0,50.0,0,0,7,0,0,0,6,,
20260719_高知_3R,20260719,高知,3,2,013495,友定 祐己,岡 山,47,82,S2,S2,追,,102.84,21.0,31.0,47.0,0,0,5,1,0,0,8,,
20260719_高知_3R,20260719,高知,3,3,015517,橋本 壮史,茨 城,31,119,S2,S2,逃,,105.45,9.0,32.0,51.0,8,2,0,0,19,21,5,,
20260719_高知_3R,20260719,高知,3,4,014552,福島 武士,香 川,40,96,S1,S2,追,,100.24,10.0,27.0,34.0,0,0,4,4,0,0,4,,
20260719_高知_3R,20260719,高知,3,5,015715,平野 想真,愛 知,27,123,S2,S2,逃,,101.82,20.0,37.0,41.0,5,4,0,0,12,9,6,,
20260719_高知_3R,20260719,高知,3,6,015289,橋本 瑠偉,栃 木,31,113,S1,S1,逃,,97.62,20.0,24.0,27.0,2,4,1,0,9,10,1,,
20260719_高知_3R,20260719,高知,3,7,013808,坂本 健太郎,福 岡,45,86,S2,S1,両,,103.84,12.0,25.0,43.0,0,0,4,4,0,0,8,,
20260719_高知_3R,20260719,高知,3,8,014830,大洞 翔平,岐 阜,34,100,S2,S2,追,,97.9,9.0,18.0,27.0,0,0,2,0,0,0,1,,
20260719_高知_3R,20260719,高知,3,9,015390,伊藤 颯馬,沖 縄,27,115,S1,S1,逃,,107.09,12.0,33.0,66.0,3,5,1,2,12,12,4,,
20260719_高知_4R,20260719,高知,4,1,015814,岩井 芯,岐 阜,21,125,S2,S2,逃,,107.35,45.0,70.0,75.0,7,6,1,0,10,9,1,,
20260719_高知_4R,20260719,高知,4,2,015090,高橋 築,東 京,34,109,S1,S1,両,,109.23,16.0,22.0,44.0,0,0,4,0,0,0,2,,
20260719_高知_4R,20260719,高知,4,3,015061,取鳥 雄吾,岡 山,31,107,S1,S1,逃,,113.2,25.0,50.0,60.0,2,4,4,0,5,7,11,,
