race_key,date,jo_code,jo_name,race_no,car_no,player_id,player_name,prefecture,age,term,class,previous_class,style,average_score,win_rate,quinella_rate,trio_rate,escape_count,makuri_count,sashi_count,mark_count,back_count,home_count,start_count
20260817_大垣_1R,20260817,44,大垣,1,1,013896,安東 英博,大 分,45,87,A2,A1,追,82.26,6.0,20.0,43.0,0,0,6,0,0,0,3
20260817_大垣_1R,20260817,44,大垣,1,2,014949,石口 慶多,兵 庫,37,103,A1,S2,両,89.95,4.0,4.0,8.0,0,1,0,0,2,2,0
20260817_大垣_1R,20260817,44,大垣,1,3,015700,吉田 晏生,埼 玉,27,123,A1,A1,逃,90.25,25.0,55.0,70.0,8,3,3,1,10,10,4
20260817_大垣_1R,20260817,44,大垣,1,4,014601,小竹 洋平,福 岡,37,97,A1,A1,両,86.66,16.0,50.0,66.0,0,1,1,1,0,0,0
20260817_大垣_1R,20260817,44,大垣,1,5,013929,宮内 善光,群 馬,45,88,A2,A1,追,88.43,16.0,46.0,56.0,0,0,9,5,0,0,4
20260817_大垣_1R,20260817,44,大垣,1,6,014334,高倉 俊宏,福 岡,39,93,A2,A2,両,82.1,10.0,20.0,30.0,2,1,2,1,5,4,5
20260817_大垣_1R,20260817,44,大垣,1,7,013729,堺 文人,和歌山,47,85,A2,A2,追,82.2,8.0,16.0,29.0,0,0,2,2,0,0,2
20260817_大垣_2R,20260817,44,大垣,2,1,015101,松岡 晋乃介,岐 阜,30,109,A2,A2,逃,81.37,4.0,12.0,37.0,2,0,1,0,6,10,9
20260817_大垣_2R,20260817,44,大垣,2,2,014695,山口 茂,福 島,46,98,A2,A2,追,79.85,0.0,0.0,13.0,0,0,0,0,1,0,0
20260817_大垣_2R,20260817,44,大垣,2,3,015345,浅見 隼,福 岡,29,115,A1,A1,逃,85.4,25.0,44.0,44.0,5,6,1,0,6,8,0
20260817_大垣_2R,20260817,44,大垣,2,4,014390,愛敬 博之,愛 知,42,94,A1,A1,追,87.74,14.0,29.0,59.0,0,1,6,1,0,0,0
20260817_大垣_2R,20260817,44,大垣,2,5,014119,中村 雅仁,熊 本,44,90,A1,A1,追,90.94,5.0,27.0,55.0,0,0,3,2,0,0,1
20260817_大垣_2R,20260817,44,大垣,2,6,015085,奈良 基,宮 城,44,109,A2,A3,両,75.18,22.0,33.0,40.0,1,3,3,2,4,8,1
20260817_大垣_2R,20260817,44,大垣,2,7,014625,藤野 貴章,佐 賀,38,97,A2,A2,追,83.37,6.0,6.0,25.0,0,0,1,0,0,0,2
20260817_大垣_3R,20260817,44,大垣,3,1,014586,近藤 寛央,東 京,39,97,A2,A1,追,84.81,0.0,14.0,40.0,0,0,1,3,0,1,12
20260817_大垣_3R,20260817,44,大垣,3,2,014305,大谷 靖茂,愛 知,44,93,A1,A2,逃,86.75,31.0,44.0,48.0,4,5,3,1,5,4,0
20260817_大垣_3R,20260817,44,大垣,3,3,014620,二條 祐也,徳 島,41,97,A1,A1,追,84.38,9.0,23.0,33.0,0,0,2,3,0,0,4
20260817_大垣_3R,20260817,44,大垣,3,4,015287,山中 崇弘,高 知,30,113,A2,A2,追,80.47,0.0,14.0,23.0,0,0,1,2,0,0,4
20260817_大垣_3R,20260817,44,大垣,3,5,013571,小林 信晴,愛 知,48,83,A1,A1,追,91.66,3.0,37.0,55.0,0,0,3,7,0,0,10
20260817_大垣_3R,20260817,44,大垣,3,6,014755,奥出 健士郎,福 井,37,99,A2,A2,追,79.22,7.0,7.0,14.0,0,1,1,0,1,1,0
20260817_大垣_3R,20260817,44,大垣,3,7,015327,阿部 架惟都,宮 城,27,115,A1,A1,逃,90.29,33.0,54.0,66.0,9,4,0,0,16,15,2
20260817_大垣_4R,20260817,44,大垣,4,1,014240,須藤 誠,千 葉,41,92,A2,A1,追,83.06,0.0,16.0,40.0,0,0,2,3,0,0,6
20260817_大垣_4R,20260817,44,大垣,4,2,013263,田中 雅史,愛 知,49,79,A2,A1,追,83.66,14.0,25.0,37.0,0,0,6,1,0,1,4
20260817_大垣_4R,20260817,44,大垣,4,3,015921,伊藤 涼介,広 島,25,127,A2,A2,逃,92.9,47.0,66.0,76.0,12,2,0,0,16,15,3
20260817_大垣_4R,20260817,44,大垣,4,4,014749,山田 哲也,愛 知,44,99,A2,A2,追,82.62,13.0,27.0,34.0,0,3,4,1,0,0,3
20260817_大垣_4R,20260817,44,大垣,4,5,013646,日浅 保幸,岡 山,49,84,A2,A2,追,82.0,0.0,8.0,28.0,0,0,1,1,2,1,0
20260817_大垣_4R,20260817,44,大垣,4,6,015045,大関 祐也,千 葉,31,107,A2,A2,逃,80.27,6.0,12.0,33.0,2,1,1,0,12,11,13
20260817_大垣_4R,20260817,44,大垣,4,7,015193,藏本 徹二,広 島,32,111,A1,A1,両,91.27,5.0,21.0,52.0,0,0,4,0,0,0,5
20260817_大垣_5R,20260817,44,大垣,5,1,011477,川口 満宏,東 京,59,58,A1,S2,追,93.53,3.0,14.0,25.0,0,0,2,2,0,0,0
20260817_大垣_5R,20260817,44,大垣,5,2,014672,吉田 茂生,岐 阜,36,98,A1,A1,両,94.5,36.0,52.0,78.0,0,0,9,1,0,0,2
20260817_大垣_5R,20260817,44,大垣,5,3,015276,佐伯 亮輔,岡 山,32,113,A1,S2,逃,97.17,28.0,35.0,50.0,4,6,0,0,9,7,2
20260817_大垣_5R,20260817,44,大垣,5,4,014477,白上 翔,滋 賀,37,95,A1,A1,両,93.33,55.0,61.0,66.0,0,2,8,1,1,1,0
20260817_大垣_5R,20260817,44,大垣,5,5,015602,比佐 宝太,福 島,25,121,A1,S2,逃,92.25,16.0,25.0,41.0,1,1,1,0,4,5,2
20260817_大垣_5R,20260817,44,大垣,5,6,015821,志田 愛希飛,富 山,24,125,A1,A2,逃,91.93,25.0,56.0,68.0,7,2,0,0,13,9,0
20260817_大垣_5R,20260817,44,大垣,5,7,015704,坪内 恒,千 葉,35,123,A1,A1,逃,92.55,33.0,55.0,55.0,5,9,0,1,8,7,2
20260817_大垣_6R,20260817,44,大垣,6,1,014184,池田 良,広 島,40,91,S2,S2,追,103.33,16.0,33.0,53.0,0,0,8,2,0,0,0
20260817_大垣_6R,20260817,44,大垣,6,2,015651,中川 聖大,福 岡,28,121,S2,A1,逃,95.4,18.0,29.0,55.0,4,2,1,1,12,9,6
20260817_大垣_6R,20260817,44,大垣,6,3,015696,荒川 達郎,埼 玉,27,123,S2,S2,逃,102.26,15.0,31.0,47.0,3,3,0,0,8,8,2
20260817_大垣_6R,20260817,44,大垣,6,4,013679,真崎 新太郎,栃 木,47,85,S2,S2,追,98.25,10.0,25.0,46.0,0,0,6,1,0,0,0
20260817_大垣_6R,20260817,44,大垣,6,5,015837,小川 三士郎,徳 島,26,125,S2,S2,逃,101.42,27.0,31.0,40.0,3,4,0,0,7,6,3
20260817_大垣_6R,20260817,44,大垣,6,6,013593,大野 悟郎,大 分,46,83,S2,S2,追,92.92,0.0,3.0,7.0,0,0,1,0,0,0,0
20260817_大垣_6R,20260817,44,大垣,6,7,014268,山口 貴弘,佐 賀,42,92,S2,S2,追,100.61,0.0,19.0,42.0,0,0,3,2,0,0,3
20260817_大垣_7R,20260817,44,大垣,7,1,014506,磯田 旭,栃 木,36,96,S2,S1,追,105.3,9.0,22.0,36.0,0,0,3,2,0,0,0
