レースキー,開催日,競輪場コード,競輪場名,開催名,グレード,レース番号,周長(m),みなし直線(m),カント角(度),レース種別,距離,周回数,発走時刻,投票締切,天候,風速
20260721_京王閣_1R,20260721,27,京王閣,前検日コメならウィンチケット杯,F2,1,400,51.5,32.1761,Ａ級チ一般,1625,4,20:50,20:47,晴,1.5
20260721_京王閣_2R,20260721,27,京王閣,前検日コメならウィンチケット杯,F2,2,400,51.5,32.1761,Ａ級チ一般,1625,4,21:10,21:07,晴,1.0
20260721_京王閣_3R,20260721,27,京王閣,前検日コメならウィンチケット杯,F2,3,400,51.5,32.1761,Ａ級チ選抜,1625,4,21:30,21:27,晴,1.0
20260721_京王閣_4R,20260721,27,京王閣,前検日コメならウィンチケット杯,F2,4,400,51.5,32.1761,Ａ級特一般,1625,4,21:50,21:47,晴,0.5
20260721_京王閣_5R,20260721,27,京王閣,前検日コメならウィンチケット杯,F2,5,400,51.5,32.1761,Ａ級特一般,1625,4,22:10,22:07,晴,0.5
20260721_京王閣_6R,20260721,27,京王閣,前検日コメならウィンチケット杯,F2,6,400,51.5,32.1761,Ａ級特選,1625,4,22:30,22:27,晴,1.0
20260721_京王閣_7R,20260721,27,京王閣,前検日コメならウィンチケット杯,F2,7,400,51.5,32.1761,Ａ級特選,1625,4,22:50,22:47,晴,0.5
20260721_京王閣_8R,20260721,27,京王閣,前検日コメならウィンチケット杯,F2,8,400,51.5,32.1761,Ａ級チ決勝,1625,4,23:10,23:07,晴,0.5
20260721_京王閣_9R,20260721,27,京王閣,前検日コメならウィンチケット杯,F2,9,400,51.5,32.1761,Ａ級決勝,1625,4,23:30,23:27,晴,0.5
20260721_松戸_1R,20260721,31,松戸,第８回みんなの競輪カップ,F2,1,333,38.2,29.745,Ａ級チ一般,1682,5,08:30,08:27,曇,0.5
20260721_松戸_2R,20260721,31,松戸,第８回みんなの競輪カップ,F2,2,333,38.2,29.745,Ａ級チ一般,1682,5,08:50,08:47,曇,0.5
20260721_松戸_3R,20260721,31,松戸,第８回みんなの競輪カップ,F2,3,333,38.2,29.745,Ａ級チ一般,1682,5,09:11,09:08,曇,0.5
20260721_松戸_4R,20260721,31,松戸,第８回みんなの競輪カップ,F2,4,333,38.2,29.745,Ａ級チ選抜,1682,5,09:32,09:29,曇,0.5
20260721_松戸_5R,20260721,31,松戸,第８回みんなの競輪カップ,F2,5,333,38.2,29.745,Ａ級チ選抜,1682,5,09:53,09:50,晴,0.5
20260721_松戸_6R,20260721,31,松戸,第８回みんなの競輪カップ,F2,6,333,38.2,29.745,Ａ級チ選抜,1682,5,10:14,10:11,晴,0.5
20260721_松戸_7R,20260721,31,松戸,第８回みんなの競輪カップ,F2,7,333,38.2,29.745,Ａ級チ決勝,1682,5,10:35,10:32,晴,0.5
20260721_豊橋_1R,20260721,45,豊橋,マイ出走表Ｂｅｔｉｍｏ杯,F2,1,400,60.3,33.8394,Ａ級チ一般,1625,4,20:40,20:37,晴,0.5
20260721_豊橋_2R,20260721,45,豊橋,マイ出走表Ｂｅｔｉｍｏ杯,F2,2,400,60.3,33.8394,Ａ級チ一般,1625,4,21:00,20:57,晴,0.2
20260721_豊橋_3R,20260721,45,豊橋,マイ出走表Ｂｅｔｉｍｏ杯,F2,3,400,60.3,33.8394,Ａ級チ選抜,1625,4,21:20,21:17,晴,0.2
20260721_豊橋_4R,20260721,45,豊橋,マイ出走表Ｂｅｔｉｍｏ杯,F2,4,400,60.3,33.8394,Ａ級特一般,1625,4,21:40,21:37,晴,0.2
20260721_豊橋_5R,20260721,45,豊橋,マイ出走表Ｂｅｔｉｍｏ杯,F2,5,400,60.3,33.8394,Ａ級特一般,1625,4,22:00,21:57,晴,0.2
20260721_豊橋_6R,20260721,45,豊橋,マイ出走表Ｂｅｔｉｍｏ杯,F2,6,400,60.3,33.8394,Ａ級特選,1625,4,22:20,22:17,晴,0.2
20260721_豊橋_7R,20260721,45,豊橋,マイ出走表Ｂｅｔｉｍｏ杯,F2,7,400,60.3,33.8394,Ａ級特選,1625,4,22:40,22:37,晴,0.2
20260721_豊橋_8R,20260721,45,豊橋,マイ出走表Ｂｅｔｉｍｏ杯,F2,8,400,60.3,33.8394,Ａ級チ決勝,1625,4,23:00,22:57,晴,0.2
20260721_豊橋_9R,20260721,45,豊橋,マイ出走表Ｂｅｔｉｍｏ杯,F2,9,400,60.3,33.8394,Ａ級決勝,1625,4,23:20,23:17,晴,0.5
20260721_富山_1R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,1,333,43,33.69,Ａ級予選,1682,5,10:45,10:42,晴,0.5
20260721_富山_2R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,2,333,43,33.69,Ａ級予選,1682,5,11:12,11:09,晴,0.5
20260721_富山_3R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,3,333,43,33.69,Ａ級予選,1682,5,11:40,11:37,晴,0.5
20260721_富山_4R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,4,333,43,33.69,Ａ級予選,1682,5,12:08,12:05,晴,0.5
20260721_富山_5R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,5,333,43,33.69,Ａ級初特選,1682,5,12:36,12:33,晴,0.5
20260721_富山_6R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,6,333,43,33.69,Ｓ級予選,2015,6,13:04,13:01,晴,0.5
20260721_富山_7R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,7,333,43,33.69,Ｓ級予選,2015,6,13:32,13:29,晴,0.5
20260721_富山_8R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,8,333,43,33.69,Ｓ級予選,2015,6,14:00,13:57,晴,0.5
20260721_富山_9R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,9,333,43,33.69,Ｓ級予選,2015,6,14:28,14:25,晴,0.5
20260721_富山_10R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,10,333,43,33.69,Ｓ級予選,2015,6,14:56,14:53,晴,0.5
20260721_富山_11R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,11,333,43,33.69,Ｓ級予選,2015,6,15:25,15:22,晴,0.5
20260721_富山_12R,20260721,46,富山,無料入会受付中！ティアの会杯,F1,12,333,43,33.69,Ｓ級初特選,2015,6,15:57,15:54,晴,0.5
20260721_松阪_1R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,1,400,61.5,34.4247,Ａ級チ予選,1625,4,15:50,15:47,晴,1.6
20260721_松阪_2R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,2,400,61.5,34.4247,Ａ級チ予選,1625,4,16:17,16:14,晴,1.6
20260721_松阪_3R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,3,400,61.5,34.4247,Ａ級チ予選,1625,4,16:44,16:41,晴,2.0
20260721_松阪_4R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,4,400,61.5,34.4247,Ａ級チ予選,1625,4,17:12,17:09,晴,1.8
20260721_松阪_5R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,5,400,61.5,34.4247,Ｌ級ガ予１,1625,4,17:40,17:37,晴,2.0
20260721_松阪_6R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,6,400,61.5,34.4247,Ｌ級ガ予１,1625,4,18:08,18:05,晴,2.0
20260721_松阪_7R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,7,400,61.5,34.4247,Ａ級特予選,1625,4,18:36,18:33,晴,2.0
20260721_松阪_8R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,8,400,61.5,34.4247,Ａ級特予選,1625,4,19:04,19:01,晴,2.0
20260721_松阪_9R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,9,400,61.5,34.4247,Ａ級特予選,1625,4,19:32,19:29,晴,1.6
20260721_松阪_10R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,10,400,61.5,34.4247,Ａ級特予選,1625,4,20:01,19:58,晴,1.4
20260721_松阪_11R,20260721,47,松阪,ＨＡＮＡＤＡＭＡカップ　ＷＴ杯,F2,11,400,61.5,34.4247,Ａ級初特選,1625,4,20:30,20:27,晴,1.4
20260721_岸和田_1R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,1,400,56.7,30.9333,Ａ級一般,1625,4,10:58,10:55,晴,2.2
20260721_岸和田_2R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,2,400,56.7,30.9333,Ａ級一般,1625,4,11:26,11:23,晴,2.7
20260721_岸和田_3R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,3,400,56.7,30.9333,Ａ級準決勝,1625,4,11:54,11:51,晴,2.7
20260721_岸和田_4R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,4,400,56.7,30.9333,Ａ級準決勝,1625,4,12:22,12:19,晴,2.2
20260721_岸和田_5R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,5,400,56.7,30.9333,Ａ級準決勝,1625,4,12:50,12:47,晴,2.7
20260721_岸和田_6R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,6,400,56.7,30.9333,Ｌ級ガ予２,1625,4,13:18,13:15,晴,2.7
20260721_岸和田_7R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,7,400,56.7,30.9333,Ｌ級ガ予２,1625,4,13:46,13:43,晴,1.8
20260721_岸和田_8R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,8,400,56.7,30.9333,Ｓ級一般,2025,5,14:14,14:11,晴,2.2
20260721_岸和田_9R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,9,400,56.7,30.9333,Ｓ級一般,2025,5,14:42,14:39,晴,1.8
20260721_岸和田_10R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,10,400,56.7,30.9333,Ｓ級準決勝,2025,5,15:10,15:07,晴,1.8
20260721_岸和田_11R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,11,400,56.7,30.9333,Ｓ級準決勝,2025,5,15:40,15:37,晴,1.8
20260721_岸和田_12R,20260721,56,岸和田,Ｓ阪神カップＷシリーズＫドリ杯,F1,12,400,56.7,30.9333,Ｓ級準決勝,2025,5,16:10,16:07,晴,1.8
