race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260918_立川_1R,20260918,28,立川,報知ゴールドカップ,F2,1,400,58,31.2183,Ａ級チ一般,デイ,曇,2.0
20260918_立川_2R,20260918,28,立川,報知ゴールドカップ,F2,2,400,58,31.2183,Ａ級チ一般,デイ,曇,2.0
20260918_立川_3R,20260918,28,立川,報知ゴールドカップ,F2,3,400,58,31.2183,Ａ級チ選抜,デイ,曇,2.0
20260918_立川_4R,20260918,28,立川,報知ゴールドカップ,F2,4,400,58,31.2183,Ｌ級ガ一般,デイ,曇,2.0
20260918_立川_5R,20260918,28,立川,報知ゴールドカップ,F2,5,400,58,31.2183,Ａ級特一般,デイ,曇,2.5
20260918_立川_6R,20260918,28,立川,報知ゴールドカップ,F2,6,400,58,31.2183,Ａ級特一般,デイ,曇,2.0
20260918_立川_7R,20260918,28,立川,報知ゴールドカップ,F2,7,400,58,31.2183,Ａ級チ決勝,デイ,曇,2.5
20260918_立川_8R,20260918,28,立川,報知ゴールドカップ,F2,8,400,58,31.2183,Ｌ級ガ決勝,デイ,曇,2.0
20260918_立川_9R,20260918,28,立川,報知ゴールドカップ,F2,9,400,58,31.2183,Ａ級特選,デイ,曇,2.0
20260918_立川_10R,20260918,28,立川,報知ゴールドカップ,F2,10,400,58,31.2183,Ａ級特選,デイ,曇,2.0
20260918_立川_11R,20260918,28,立川,報知ゴールドカップ,F2,11,400,58,31.2183,Ａ級決勝,デイ,曇,2.0
20260918_川崎_1R,20260918,34,川崎,前検コメはウィンチケット杯,F2,1,400,58,32.1706,Ａ級チ一般,ミッドナイト,曇,2.0
20260918_川崎_2R,20260918,34,川崎,前検コメはウィンチケット杯,F2,2,400,58,32.1706,Ａ級チ一般,ミッドナイト,曇,2.0
20260918_川崎_3R,20260918,34,川崎,前検コメはウィンチケット杯,F2,3,400,58,32.1706,Ａ級チ準決,ミッドナイト,曇,2.0
20260918_川崎_4R,20260918,34,川崎,前検コメはウィンチケット杯,F2,4,400,58,32.1706,Ａ級チ準決,ミッドナイト,曇,2.0
20260918_川崎_5R,20260918,34,川崎,前検コメはウィンチケット杯,F2,5,400,58,32.1706,Ａ級特一般,ミッドナイト,曇,2.0
20260918_川崎_6R,20260918,34,川崎,前検コメはウィンチケット杯,F2,6,400,58,32.1706,Ａ級特一般,ミッドナイト,曇,1.5
20260918_川崎_7R,20260918,34,川崎,前検コメはウィンチケット杯,F2,7,400,58,32.1706,Ａ級準決勝,ミッドナイト,曇,1.5
20260918_川崎_8R,20260918,34,川崎,前検コメはウィンチケット杯,F2,8,400,58,32.1706,Ａ級準決勝,ミッドナイト,曇,1.5
20260918_川崎_9R,20260918,34,川崎,前検コメはウィンチケット杯,F2,9,400,58,32.1706,Ａ級準決勝,ミッドナイト,曇,1.5
20260918_静岡_1R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,1,400,56.4,30.7228,Ａ級予選,ナイター,晴,1.5
20260918_静岡_2R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,2,400,56.4,30.7228,Ａ級予選,ナイター,晴,1.5
20260918_静岡_3R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,3,400,56.4,30.7228,Ａ級予選,ナイター,晴,2.0
20260918_静岡_4R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,4,400,56.4,30.7228,Ａ級予選,ナイター,晴,2.0
20260918_静岡_5R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,5,400,56.4,30.7228,Ａ級初特選,ナイター,曇,1.5
20260918_静岡_6R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,6,400,56.4,30.7228,Ｌ級ガ予１,ナイター,曇,2.0
20260918_静岡_7R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,7,400,56.4,30.7228,Ｌ級ガ予１,ナイター,曇,2.0
20260918_静岡_8R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,8,400,56.4,30.7228,Ｓ級予選,ナイター,曇,1.5
20260918_静岡_9R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,9,400,56.4,30.7228,Ｓ級予選,ナイター,曇,1.0
20260918_静岡_10R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,10,400,56.4,30.7228,Ｓ級予選,ナイター,曇,1.0
20260918_静岡_11R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,11,400,56.4,30.7228,Ｓ級予選,ナイター,曇,0.5
20260918_静岡_12R,20260918,38,静岡,オタクなリンカイ！と臥龍梅杯,F1,12,400,56.4,30.7228,Ｓ級初特選,ナイター,曇,0.5
20260918_富山_1R,20260918,46,富山,共同通信社杯競輪,G2,1,333,43,33.69,Ｓ級一予選,デイ,晴,1.3
20260918_富山_2R,20260918,46,富山,共同通信社杯競輪,G2,2,333,43,33.69,Ｓ級一予選,デイ,晴,1.0
20260918_富山_3R,20260918,46,富山,共同通信社杯競輪,G2,3,333,43,33.69,Ｓ級一予選,デイ,晴,1.2
20260918_富山_4R,20260918,46,富山,共同通信社杯競輪,G2,4,333,43,33.69,Ｓ級一予選,デイ,晴,0.8
20260918_富山_5R,20260918,46,富山,共同通信社杯競輪,G2,5,333,43,33.69,Ｓ級一予選,デイ,晴,1.4
20260918_富山_6R,20260918,46,富山,共同通信社杯競輪,G2,6,333,43,33.69,Ｓ級一予選,デイ,晴,1.0
20260918_富山_7R,20260918,46,富山,共同通信社杯競輪,G2,7,333,43,33.69,Ｓ級一予選,デイ,晴,1.2
20260918_富山_8R,20260918,46,富山,共同通信社杯競輪,G2,8,333,43,33.69,Ｓ級一予選,デイ,晴,1.0
20260918_富山_9R,20260918,46,富山,共同通信社杯競輪,G2,9,333,43,33.69,Ｓ級一予選,デイ,晴,0.8
20260918_富山_10R,20260918,46,富山,共同通信社杯競輪,G2,10,333,43,33.69,Ｓ級一予選,デイ,晴,0.5
20260918_富山_11R,20260918,46,富山,共同通信社杯競輪,G2,11,333,43,33.69,Ｓ級一予選,デイ,晴,0.4
20260918_富山_12R,20260918,46,富山,共同通信社杯競輪,G2,12,333,43,33.69,Ｓ級一予選,デイ,晴,1.3
20260918_小松島_1R,20260918,73,小松島,ミナト海藻杯,F2,1,400,55.5,29.7742,Ａ級チ一般,モーニング,曇,1.1
20260918_小松島_2R,20260918,73,小松島,ミナト海藻杯,F2,2,400,55.5,29.7742,Ａ級チ一般,モーニング,曇,0.7
20260918_小松島_3R,20260918,73,小松島,ミナト海藻杯,F2,3,400,55.5,29.7742,Ａ級チ選抜,モーニング,曇,0.8
20260918_小松島_4R,20260918,73,小松島,ミナト海藻杯,F2,4,400,55.5,29.7742,Ａ級チ選抜,モーニング,曇,1.0
20260918_小松島_5R,20260918,73,小松島,ミナト海藻杯,F2,5,400,55.5,29.7742,Ａ級チ準決,モーニング,曇,1.1
20260918_小松島_6R,20260918,73,小松島,ミナト海藻杯,F2,6,400,55.5,29.7742,Ａ級チ準決,モーニング,曇,1.0
20260918_小松島_7R,20260918,73,小松島,ミナト海藻杯,F2,7,400,55.5,29.7742,Ａ級チ準決,モーニング,曇,1.0
20260918_久留米_1R,20260918,83,久留米,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,1,400,50.7,31.4769,Ｌ級ガ予２,ミッドナイト,曇,1.0
20260918_久留米_2R,20260918,83,久留米,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,2,400,50.7,31.4769,Ｌ級ガ予２,ミッドナイト,曇,1.0
20260918_久留米_3R,20260918,83,久留米,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,3,400,50.7,31.4769,Ａ級一般,ミッドナイト,曇,1.0
20260918_久留米_4R,20260918,83,久留米,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,4,400,50.7,31.4769,Ａ級一般,ミッドナイト,曇,1.5
20260918_久留米_5R,20260918,83,久留米,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,5,400,50.7,31.4769,Ａ級選抜,ミッドナイト,曇,1.5
20260918_久留米_6R,20260918,83,久留米,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,6,400,50.7,31.4769,Ａ級選抜,ミッドナイト,曇,1.5
20260918_久留米_7R,20260918,83,久留米,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,7,400,50.7,31.4769,Ａ級準決勝,ミッドナイト,曇,1.5
20260918_久留米_8R,20260918,83,久留米,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,8,400,50.7,31.4769,Ａ級準決勝,ミッドナイト,曇,1.0
20260918_久留米_9R,20260918,83,久留米,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,9,400,50.7,31.4769,Ａ級準決勝,ミッドナイト,雨,1.0
20260918_武雄_1R,20260918,84,武雄,オッズパーク杯,F2,1,400,64.4,32.0053,Ａ級チ一般,モーニング,曇,0.5
20260918_武雄_2R,20260918,84,武雄,オッズパーク杯,F2,2,400,64.4,32.0053,Ａ級チ一般,モーニング,曇,0.5
20260918_武雄_3R,20260918,84,武雄,オッズパーク杯,F2,3,400,64.4,32.0053,Ａ級チ一般,モーニング,曇,1.0
20260918_武雄_4R,20260918,84,武雄,オッズパーク杯,F2,4,400,64.4,32.0053,Ａ級チ選抜,モーニング,曇,1.0
20260918_武雄_5R,20260918,84,武雄,オッズパーク杯,F2,5,400,64.4,32.0053,Ａ級チ選抜,モーニング,曇,0.5
20260918_武雄_6R,20260918,84,武雄,オッズパーク杯,F2,6,400,64.4,32.0053,Ａ級チ選抜,モーニング,曇,0.5
20260918_武雄_7R,20260918,84,武雄,オッズパーク杯,F2,7,400,64.4,32.0053,Ａ級チ決勝,モーニング,曇,0.5
20260918_別府_1R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,1,400,59.9,33.69,Ａ級一般,ナイター,雨,0.0
20260918_別府_2R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,2,400,59.9,33.69,Ａ級一般,ナイター,雨,0.0
20260918_別府_3R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,3,400,59.9,33.69,Ａ級特選,ナイター,雨,0.5
20260918_別府_4R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,4,400,59.9,33.69,Ａ級特選,ナイター,雨,0.5
20260918_別府_5R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,5,400,59.9,33.69,Ｓ級一般,ナイター,雨,0.0
20260918_別府_6R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,6,400,59.9,33.69,Ｓ級一般,ナイター,雨,0.5
20260918_別府_7R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,7,400,59.9,33.69,Ｓ級一般,ナイター,雨,0.0
20260918_別府_8R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,8,400,59.9,33.69,Ｓ級特選,ナイター,雨,0.0
20260918_別府_9R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,9,400,59.9,33.69,Ｓ級特選,ナイター,雨,0.0
20260918_別府_10R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,10,400,59.9,33.69,Ｓ級特選,ナイター,雨,0.0
20260918_別府_11R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,11,400,59.9,33.69,Ａ級決勝,ナイター,雨,0.5
20260918_別府_12R,20260918,86,別府,沖縄食糧石川ひゃくまん穀杯,F1,12,400,59.9,33.69,Ｓ級決勝,ナイター,雨,0.0
