レースキー,開催日,競輪場,レース番号,車番,登録番号,着順,結果ステータス,結果理由,3連単組番,3連単払戻,人気,払戻分類,is_20000_plus,is_50000_plus
20260717_高知_1R,20260717,高知,1,1,015868,1,NORMAL,,1-7-9,4050,(7),UNDER_10000,0,0
20260717_高知_1R,20260717,高知,1,7,014103,2,NORMAL,,1-7-9,4050,(7),UNDER_10000,0,0
20260717_高知_1R,20260717,高知,1,9,014252,3,NORMAL,,1-7-9,4050,(7),UNDER_10000,0,0
20260717_高知_1R,20260717,高知,1,2,014744,4,NORMAL,,1-7-9,4050,(7),UNDER_10000,0,0
20260717_高知_1R,20260717,高知,1,5,015436,5,NORMAL,,1-7-9,4050,(7),UNDER_10000,0,0
20260717_高知_1R,20260717,高知,1,3,014507,6,NORMAL,,1-7-9,4050,(7),UNDER_10000,0,0
20260717_高知_1R,20260717,高知,1,6,015289,7,NORMAL,,1-7-9,4050,(7),UNDER_10000,0,0
20260717_高知_1R,20260717,高知,1,4,013745,8,NORMAL,,1-7-9,4050,(7),UNDER_10000,0,0
20260717_高知_1R,20260717,高知,1,8,014682,9,NORMAL,,1-7-9,4050,(7),UNDER_10000,0,0
20260717_高知_2R,20260717,高知,2,9,015248,1,NORMAL,,9-3-5,2080,(3),UNDER_10000,0,0
20260717_高知_2R,20260717,高知,2,3,015431,2,NORMAL,,9-3-5,2080,(3),UNDER_10000,0,0
20260717_高知_2R,20260717,高知,2,5,014089,3,NORMAL,,9-3-5,2080,(3),UNDER_10000,0,0
20260717_高知_2R,20260717,高知,2,7,013791,4,NORMAL,,9-3-5,2080,(3),UNDER_10000,0,0
20260717_高知_2R,20260717,高知,2,4,015645,5,NORMAL,,9-3-5,2080,(3),UNDER_10000,0,0
20260717_高知_2R,20260717,高知,2,8,014322,6,NORMAL,,9-3-5,2080,(3),UNDER_10000,0,0
20260717_高知_2R,20260717,高知,2,1,014356,7,NORMAL,,9-3-5,2080,(3),UNDER_10000,0,0
20260717_高知_2R,20260717,高知,2,2,015814,8,NORMAL,,9-3-5,2080,(3),UNDER_10000,0,0
20260717_高知_2R,20260717,高知,2,6,015601,9,NORMAL,,9-3-5,2080,(3),UNDER_10000,0,0
20260717_高知_3R,20260717,高知,3,2,014861,1,NORMAL,,2-7-6,86870,(236),50000_PLUS,1,1
20260717_高知_3R,20260717,高知,3,7,015464,2,NORMAL,,2-7-6,86870,(236),50000_PLUS,1,1
20260717_高知_3R,20260717,高知,3,6,015695,3,NORMAL,,2-7-6,86870,(236),50000_PLUS,1,1
20260717_高知_3R,20260717,高知,3,3,014417,4,NORMAL,,2-7-6,86870,(236),50000_PLUS,1,1
20260717_高知_3R,20260717,高知,3,9,013917,5,NORMAL,,2-7-6,86870,(236),50000_PLUS,1,1
20260717_高知_3R,20260717,高知,3,1,015518,6,NORMAL,,2-7-6,86870,(236),50000_PLUS,1,1
20260717_高知_3R,20260717,高知,3,8,013815,7,NORMAL,,2-7-6,86870,(236),50000_PLUS,1,1
20260717_高知_3R,20260717,高知,3,4,015324,8,NORMAL,,2-7-6,86870,(236),50000_PLUS,1,1
20260717_高知_3R,20260717,高知,3,5,015268,9,NORMAL,,2-7-6,86870,(236),50000_PLUS,1,1
20260717_高知_4R,20260717,高知,4,2,014097,1,NORMAL,,2-7-1,31260,(88),20000_TO_49999,1,0
20260717_高知_4R,20260717,高知,4,7,014380,2,NORMAL,,2-7-1,31260,(88),20000_TO_49999,1,0
20260717_高知_4R,20260717,高知,4,1,015090,3,NORMAL,,2-7-1,31260,(88),20000_TO_49999,1,0
20260717_高知_4R,20260717,高知,4,3,014935,4,NORMAL,,2-7-1,31260,(88),20000_TO_49999,1,0
20260717_高知_4R,20260717,高知,4,5,015272,5,NORMAL,,2-7-1,31260,(88),20000_TO_49999,1,0
20260717_高知_4R,20260717,高知,4,9,014317,6,NORMAL,,2-7-1,31260,(88),20000_TO_49999,1,0
20260717_高知_4R,20260717,高知,4,8,015349,7,NORMAL,,2-7-1,31260,(88),20000_TO_49999,1,0
20260717_高知_4R,20260717,高知,4,4,015479,8,NORMAL,,2-7-1,31260,(88),20000_TO_49999,1,0
20260717_高知_4R,20260717,高知,4,6,015738,9,NORMAL,,2-7-1,31260,(88),20000_TO_49999,1,0
