race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta,trifecta_payout,popularity
20260809_佐世保_1R,20260809,85,佐世保,1,2,015394,1,NORMAL,,2-3-7,5260,16
20260809_佐世保_1R,20260809,85,佐世保,1,3,015216,2,NORMAL,,2-3-7,5260,16
20260809_佐世保_1R,20260809,85,佐世保,1,7,015027,3,NORMAL,,2-3-7,5260,16
20260809_佐世保_1R,20260809,85,佐世保,1,5,015147,4,NORMAL,,2-3-7,5260,16
20260809_佐世保_1R,20260809,85,佐世保,1,6,015777,5,NORMAL,,2-3-7,5260,16
20260809_佐世保_1R,20260809,85,佐世保,1,4,015310,6,NORMAL,,2-3-7,5260,16
20260809_佐世保_1R,20260809,85,佐世保,1,1,015948,7,NORMAL,,2-3-7,5260,16
20260809_佐世保_2R,20260809,85,佐世保,2,3,015153,1,NORMAL,,3-6-1,3750,12
20260809_佐世保_2R,20260809,85,佐世保,2,6,015222,2,NORMAL,,3-6-1,3750,12
20260809_佐世保_2R,20260809,85,佐世保,2,1,015141,3,NORMAL,,3-6-1,3750,12
20260809_佐世保_2R,20260809,85,佐世保,2,5,014910,4,NORMAL,,3-6-1,3750,12
20260809_佐世保_2R,20260809,85,佐世保,2,4,015082,5,NORMAL,,3-6-1,3750,12
20260809_佐世保_2R,20260809,85,佐世保,2,7,015950,6,NORMAL,,3-6-1,3750,12
20260809_佐世保_2R,20260809,85,佐世保,2,2,014908,7,NORMAL,,3-6-1,3750,12
20260809_佐世保_3R,20260809,85,佐世保,3,2,015492,1,NORMAL,,2-6-5,8020,33
20260809_佐世保_3R,20260809,85,佐世保,3,6,015309,2,NORMAL,,2-6-5,8020,33
20260809_佐世保_3R,20260809,85,佐世保,3,5,015317,3,NORMAL,,2-6-5,8020,33
20260809_佐世保_3R,20260809,85,佐世保,3,3,015766,4,NORMAL,,2-6-5,8020,33
20260809_佐世保_3R,20260809,85,佐世保,3,1,015776,5,NORMAL,,2-6-5,8020,33
20260809_佐世保_3R,20260809,85,佐世保,3,7,015852,6,NORMAL,,2-6-5,8020,33
20260809_佐世保_3R,20260809,85,佐世保,3,4,015680,7,NORMAL,,2-6-5,8020,33
20260809_佐世保_4R,20260809,85,佐世保,4,1,016030,1,NORMAL,,1-2-3,410,1
20260809_佐世保_4R,20260809,85,佐世保,4,2,016028,2,NORMAL,,1-2-3,410,1
