race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta_1st,trifecta_2nd,trifecta_3rd,trifecta_payout,popularity
20260922_青森_1R,20260922,12,青森,1,4,015057,1,NORMAL,,4,5,3,250,1
20260922_青森_1R,20260922,12,青森,1,5,014181,2,NORMAL,,4,5,3,250,1
20260922_青森_1R,20260922,12,青森,1,3,013888,3,NORMAL,,4,5,3,250,1
20260922_青森_1R,20260922,12,青森,1,6,014335,4,NORMAL,,4,5,3,250,1
20260922_青森_1R,20260922,12,青森,1,1,014061,5,NORMAL,,4,5,3,250,1
20260922_青森_1R,20260922,12,青森,1,2,014782,6,NORMAL,,4,5,3,250,1
20260922_青森_1R,20260922,12,青森,1,7,013854,,欠場,,4,5,3,250,1
20260922_青森_2R,20260922,12,青森,2,7,013506,1,NORMAL,,7,4,2,2600,5
20260922_青森_2R,20260922,12,青森,2,4,014843,2,NORMAL,,7,4,2,2600,5
20260922_青森_2R,20260922,12,青森,2,2,014556,3,NORMAL,,7,4,2,2600,5
20260922_青森_2R,20260922,12,青森,2,1,013209,4,NORMAL,,7,4,2,2600,5
20260922_青森_2R,20260922,12,青森,2,6,013838,5,NORMAL,,7,4,2,2600,5
20260922_青森_2R,20260922,12,青森,2,5,015115,6,NORMAL,,7,4,2,2600,5
20260922_青森_2R,20260922,12,青森,2,3,015506,7,NORMAL,,7,4,2,2600,5
20260922_青森_3R,20260922,12,青森,3,7,014115,1,NORMAL,,7,4,5,173600,149
20260922_青森_3R,20260922,12,青森,3,4,013747,2,NORMAL,,7,4,5,173600,149
20260922_青森_3R,20260922,12,青森,3,5,014119,3,NORMAL,,7,4,5,173600,149
20260922_青森_3R,20260922,12,青森,3,3,014614,4,NORMAL,,7,4,5,173600,149
20260922_青森_3R,20260922,12,青森,3,1,015332,5,NORMAL,,7,4,5,173600,149
20260922_青森_3R,20260922,12,青森,3,2,015748,6,NORMAL,,7,4,5,173600,149
20260922_青森_3R,20260922,12,青森,3,6,013006,7,NORMAL,,7,4,5,173600,149
20260922_青森_4R,20260922,12,青森,4,5,015162,1,NORMAL,,5,4,1,4320,12
20260922_青森_4R,20260922,12,青森,4,4,013199,2,NORMAL,,5,4,1,4320,12
20260922_青森_4R,20260922,12,青森,4,1,015752,3,NORMAL,,5,4,1,4320,12
20260922_青森_4R,20260922,12,青森,4,7,013924,4,NORMAL,,5,4,1,4320,12
20260922_青森_4R,20260922,12,青森,4,3,013834,5,NORMAL,,5,4,1,4320,12
20260922_青森_4R,20260922,12,青森,4,6,013971,6,NORMAL,,5,4,1,4320,12
20260922_青森_4R,20260922,12,青森,4,2,015903,7,NORMAL,,5,4,1,4320,12
20260922_青森_5R,20260922,12,青森,5,2,015788,1,NORMAL,,2,7,1,2760,3
20260922_青森_5R,20260922,12,青森,5,7,015626,2,NORMAL,,2,7,1,2760,3
20260922_青森_5R,20260922,12,青森,5,1,014740,3,NORMAL,,2,7,1,2760,3
20260922_青森_5R,20260922,12,青森,5,3,013576,4,NORMAL,,2,7,1,2760,3
