feature,importance
jo_name,5265
race_type,2646
L3_P1_score_diff_top,404
L2_P1_score_diff_top,363
L3_P2_score_diff_top,337
L1_P2_score_diff_top,305
L1_P2_trio_rate,282
L3_P2_term,279
L2_P2_score_diff_top,278
L1_P2_term,266
L3_P1_term,261
L3_P1_trio_rate,258
L2_P1_trio_rate,255
L1_P3_line_score_diff_top,255
L1_P1_score_diff_top,244
L1_P2_win_rate_diff_top,243
L1_P2_age,243
L2_P1_age,240
L2_P2_trio_rate,239
L1_P2_quinella_rate_diff_top,238
L1_P2_trio_rate_diff_top,238
L2_P1_term,238
L1_P2_line_score_diff_top,238
L2_P1_win_rate_diff_top,235
L1_P1_age,234
L3_P2_quinella_rate_diff_top,233
L2_P2_term,232
L3_P1_quinella_rate_diff_top,231
L2_P2_age,228
L1_P1_back_count,225
L1_P2_quinella_rate,224
L4_P1_score_diff_top,223
L1_P2_start_count,219
L2_P1_quinella_rate_diff_top,219
L2_P2_average_score,217
L3_P1_age,215
L1_P3_term,213
L3_P2_average_score,212
L1_P1_start_count,212
L3_P2_trio_rate,208
L3_P2_age,204
L1_P1_term,203
L2_P2_quinella_rate,203
L3_P1_trio_rate_diff_top,203
L3_P1_average_score,203
L1_P2_average_score,201
L1_P3_trio_rate,199
L1_P3_score_diff_top,199
L1_P1_trio_rate,197
L1_P1_home_count,192
L2_P2_trio_rate_diff_top,191
L4_P1_term,191
L3_P1_line_score_diff_top,189
L2_P1_average_score,189
L2_P1_start_count,189
L1_P1_quinella_rate,186
L3_P1_win_rate,186
L2_P1_trio_rate_diff_top,185
L2_P2_win_rate_diff_top,184
L1_P1_average_score,182
L3_P1_quinella_rate,181
L3_P1_start_count,178
L3_P1_home_count,176
L2_P2_start_count,176
L1_P1_escape_count,174
L1_P1_line_score_diff_top,174
L2_P2_quinella_rate_diff_top,173
L3_P2_win_rate_diff_top,172
L1_P2_win_rate,171
L2_P1_quinella_rate,170
L3_P2_trio_rate_diff_top,170
L3_P2_win_rate,169
L2_P1_home_count,166
L3_P1_win_rate_diff_top,166
L3_P3_line_score_diff_top,166
L1_P1_trio_rate_diff_top,165
L4_P1_trio_rate_diff_top,163
L1_P3_age,162
L1_P3_trio_rate_diff_top,162
L3_P2_quinella_rate,162
L4_P1_average_score,162
L2_P1_win_rate,158
L1_P1_win_rate,157
L2_P3_score_diff_top,157
L2_P1_line_score_diff_top,156
L3_P2_line_score_diff_top,155
L2_P2_line_quinella_rate_diff_top,154
L2_P2_win_rate,154
L1_P1_win_rate_diff_top,152
L1_P2_line_trio_rate_diff_top,152
L1_P3_average_score,151
L3_P1_back_count,149
L1_P3_line_win_rate_diff_top,149
L1_P3_quinella_rate_diff_top,148
L1_P2_line_win_rate_diff_top,147
L2_P2_line_score_diff_top,145
weekday,144
L4_P1_trio_rate,144
L3_P2_line_quinella_rate_diff_top,143
L4_P1_age,142
L2_P2_line_win_rate_diff_top,141
L1_P1_quinella_rate_diff_top,139
L3_P2_line_win_rate_diff_top,138
L3_P3_score_diff_top,137
L1_P3_quinella_rate,137
